SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,76 Cedar St #704,Seattle,WA,98121,499000,1,1.5,Belltown,867,,2008,15,576,800,Active,October-29-2022 11:00 AM,October-29-2022 01:00 PM,https://www.redfin.com/WA/Seattle/76-Cedar-St-98121/unit-704/home/12538263,NWMLS,2004074,N,Y,47.6154196,-122.3515843
MLS Listing,,Single Family Residential,8145 4th Ave SW,Seattle,WA,98106,824950,4,2.5,West Seattle,2960,9687,2000,29,279,,Active,October-29-2022 02:00 PM,October-29-2022 04:00 PM,https://www.redfin.com/WA/Seattle/8145-4th-Ave-SW-98106/home/476296,NWMLS,1998615,N,Y,47.5287356,-122.340752
MLS Listing,,Single Family Residential,9238 Evanston Ave N,Seattle,WA,98103,734000,2,1.0,Greenwood,730,5663,1940,29,1005,,Active,October-29-2022 02:00 PM,October-29-2022 04:00 PM,https://www.redfin.com/WA/Seattle/9238-Evanston-Ave-N-98103/home/99012,NWMLS,1998616,N,Y,47.6971604,-122.3510169
MLS Listing,,Condo/Co-op,820 Blanchard St #904,Seattle,WA,98121,599000,1,1.0,Denny Triangle,683,,2009,36,877,612,Active,October-29-2022 02:00 PM,October-29-2022 04:00 PM,https://www.redfin.com/WA/Seattle/820-Blanchard-St-98121/unit-904/home/28623819,NWMLS,1998610,N,Y,47.617753,-122.3387784
MLS Listing,,Single Family Residential,1602 E Sherman St,Tacoma,WA,98404,475950,4,2.5,East Tacoma,1588,4176,2012,77,300,,Active,,,https://www.redfin.com/WA/Tacoma/1602-E-Sherman-St-98404/home/17948258,NWMLS,1980588,N,Y,47.2283056,-122.4077744
MLS Listing,,Single Family Residential,2015 13th Ave S,Seattle,WA,98144,745000,4,2.0,N Beacon Hill,1800,2703,1916,106,414,,Active,,,https://www.redfin.com/WA/Seattle/2015-13th-Ave-S-98144/home/169204,NWMLS,1968687,N,Y,47.5849984,-122.3165216
MLS Listing,,Single Family Residential,1112 116th St S,Tacoma,WA,98444,389950,2,1.0,Parkland,868,5000,1950,7,449,,Active,,,https://www.redfin.com/WA/Tacoma/1112-116th-St-S-98444/home/2766626,NWMLS,2010258,N,Y,47.1510039,-122.4495957
MLS Listing,,Townhouse,1317 S State St,Seattle,WA,98144,899000,3,3.5,N Beacon Hill,1590,1314,2009,7,565,,Active,October-29-2022 01:00 PM,October-29-2022 04:00 PM,https://www.redfin.com/WA/Seattle/1317-S-State-St-98144/home/28582062,NWMLS,2010187,N,Y,47.587647,-122.315287
MLS Listing,,Single Family Residential,10037 13th Ave NW,Seattle,WA,98177,799000,3,1.0,Crown Hill,1340,7669,1950,9,596,,Active,October-30-2022 12:00 PM,October-30-2022 03:00 PM,https://www.redfin.com/WA/Seattle/10037-13th-Ave-NW-98177/home/95478,NWMLS,1996014,N,Y,47.7027243,-122.3730471
MLS Listing,,Single Family Residential,525 Judson St S,Tacoma,WA,98444,375000,3,2.0,Parkland,1225,5000,1997,10,306,,Active,October-28-2022 04:00 PM,October-28-2022 06:00 PM,https://www.redfin.com/WA/Tacoma/525-Judson-St-S-98444/home/2849740,NWMLS,2008700,N,Y,47.160912,-122.4394679
