SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,2516 Yale Ave E Unit C,Seattle,WA,98102,780000,2,1.5,Eastlake,1020,1249,2008,12,765,,Active,,,https://www.redfin.com/WA/Seattle/2516-Yale-Ave-E-98102/unit-C/home/17382531,NWMLS,1999125,N,Y,47.6426602,-122.3268478
MLS Listing,,Single Family Residential,2219 SW 103rd Pl,Seattle,WA,98146,960000,4,2.5,North Shorewood,2350,4000,2014,18,409,,Active,,,https://www.redfin.com/WA/Seattle/2219-SW-103rd-Pl-98146/home/45464881,NWMLS,1995747,N,Y,47.5108102,-122.3621086
MLS Listing,,Single Family Residential,1054 S 86th St,Tacoma,WA,98444,439000,3,2.5,Tacoma,1715,9250,2016,20,256,,Active,,,https://www.redfin.com/WA/Tacoma/1054-S-86th-St-98444/home/23425336,NWMLS,1995244,N,Y,47.1792537,-122.4497674
MLS Listing,,Single Family Residential,15002 10th Ave E,Tacoma,WA,98445,475000,3,1.5,Brookdale,1339,11300,1968,25,355,,Active,October-8-2022 10:30 AM,October-8-2022 01:00 PM,https://www.redfin.com/WA/Tacoma/15002-10th-Ave-E-98445/home/2983357,NWMLS,1992703,N,Y,47.1207244,-122.4181475
MLS Listing,,Single Family Residential,4149 32nd Ave SW,Seattle,WA,98126,724950,3,2.0,Fairmount,1150,6860,1951,26,630,,Active,,,https://www.redfin.com/WA/Seattle/4149-32nd-Ave-SW-98126/home/159571,NWMLS,1993266,N,Y,47.5652842,-122.3739963
MLS Listing,,Single Family Residential,7218 E F St,Tacoma,WA,98404,370000,2,2.0,Tacoma,1006,6000,1984,41,368,,Active,,,https://www.redfin.com/WA/Tacoma/7218-E-F-St-98404/home/2821387,NWMLS,1981802,N,Y,47.1911399,-122.4238226
MLS Listing,,Single Family Residential,9827 Park Ave S,Tacoma,WA,98444,325000,2,1.0,Tacoma,1644,21780,1943,48,198,,Active,,,https://www.redfin.com/WA/Tacoma/9827-Park-Ave-S-98444/home/2555300,NWMLS,1984253,N,Y,47.1675122,-122.4409188
MLS Listing,,Single Family Residential,4909 43rd Ave S,Seattle,WA,98118,625000,2,1.0,Columbia City,940,3300,1909,168,665,,Active,,,https://www.redfin.com/WA/Seattle/4909-43rd-Ave-S-98118/home/491033,NWMLS,1918826,N,Y,47.5578154,-122.2797942
MLS Listing,,Single Family Residential,3425 34th Ave S,Seattle,WA,98144,875000,4,2.5,Mt Baker,1940,2937,1918,5,451,,Active,,,https://www.redfin.com/WA/Seattle/3425-34th-Ave-S-98144/home/171482,NWMLS,2000882,N,Y,47.5717086,-122.2902407
MLS Listing,,Single Family Residential,9422 24th Ave E,Tacoma,WA,98445,480000,3,2.0,Midland,1700,24225,1940,6,282,,Active,,,https://www.redfin.com/WA/Tacoma/9422-24th-Ave-E-98445/home/2920889,NWMLS,2001172,N,Y,47.1709006,-122.3974612
MLS Listing,,Single Family Residential,2120 155th St E,Tacoma,WA,98445,400000,3,2.0,Brookdale,1704,10170,1987,7,235,,Active,,,https://www.redfin.com/WA/Tacoma/2120-155th-St-E-98445/home/2773019,NWMLS,2000408,N,Y,47.1158117,-122.4003014
MLS Listing,,Single Family Residential,1516 S Winnifred St,Tacoma,WA,98465,514500,3,2.0,Tacoma,1617,6000,1968,8,318,,Active,,,https://www.redfin.com/WA/Tacoma/1516-S-Winnifred-St-98465/home/2835111,NWMLS,2000559,N,Y,47.2464435,-122.5120828
MLS Listing,,Single Family Residential,4012 S Thompson Ave,Tacoma,WA,98418,489000,3,2.0,South Tacoma,1056,5750,1913,10,463,,Active,,,https://www.redfin.com/WA/Tacoma/4012-S-Thompson-Ave-98418/home/2978709,NWMLS,2000150,N,Y,47.2203511,-122.4452436
MLS Listing,,Single Family Residential,3908 SW Othello St,Seattle,WA,98136,739000,2,2.0,Gatewood,1810,9120,1926,12,408,,Active,,,https://www.redfin.com/WA/Seattle/3908-SW-Othello-St-98136/home/469503,NWMLS,1998856,N,Y,47.5377847,-122.3825746
MLS Listing,,Condo/Co-op,7323 Sand Point Way NE #202,Seattle,WA,98115,335000,1,1.0,Sand Point,667,,1985,12,502,432,Active,,,https://www.redfin.com/WA/Seattle/7323-Sand-Point-Way-NE-98115/unit-202/home/12090587,NWMLS,1998158,N,Y,47.681933,-122.2640738
MLS Listing,,Townhouse,8751 F 14th Ave NW,Seattle,WA,98117,939950,3,2.5,Crown Hill,1603,1213,2022,14,586,,Active,,,https://www.redfin.com/WA/Seattle/8751-14th-Ave-NW-98117/home/181291799,NWMLS,1998408,N,Y,47.6937636,-122.3745966
MLS Listing,,Single Family Residential,3819 21st Ave SW,Seattle,WA,98106,775999,4,2.0,Pigeon Point,1400,5000,1936,18,554,,Active,,,https://www.redfin.com/WA/Seattle/3819-21st-Ave-SW-98106/home/160023,NWMLS,1997042,N,Y,47.5695596,-122.3603153
MLS Listing,,Vacant Land,7435 S Pine St,Tacoma,WA,98409,267000,,,South Tacoma,,9000,,19,,,Active,,,https://www.redfin.com/WA/Tacoma/7435-S-Pine-St-98409/home/2723344,NWMLS,1996646,N,Y,47.1889218,-122.4735817
MLS Listing,,Single Family Residential,11121 50 Ave S,Tukwila,WA,98178,689000,4,2.0,Tukwila,2140,7020,1962,19,322,,Active,,,https://www.redfin.com/WA/Tukwila/11121-50th-Ave-S-98178/home/175506,NWMLS,1995239,N,Y,47.503206,-122.271736
MLS Listing,,Single Family Residential,3744 NE 125th St,Seattle,WA,98125,670000,2,1.0,Cedar Park,820,8800,1940,20,817,,Active,,,https://www.redfin.com/WA/Seattle/3744-NE-125th-St-98125/home/111544,NWMLS,1994177,N,Y,47.7194663,-122.286906
MLS Listing,,Single Family Residential,3224 24th Ave S,Seattle,WA,98144,875000,3,2.0,Beacon Hill,1340,3680,1922,20,653,,Active,,,https://www.redfin.com/WA/Seattle/3224-24th-Ave-S-98144/home/169346,NWMLS,1995225,N,Y,47.5742804,-122.3015
MLS Listing,,Single Family Residential,4421 N 19th St,Tacoma,WA,98406,735000,4,2.0,Proctor,2422,6000,1946,21,303,,Active,,,https://www.redfin.com/WA/Tacoma/4421-N-19th-St-98406/home/2963807,NWMLS,1994951,N,Y,47.2666529,-122.4975025
MLS Listing,,Single Family Residential,1007 S 74th St,Tacoma,WA,98408,375000,3,1.0,South Tacoma,1019,5065,1971,21,368,,Active,,,https://www.redfin.com/WA/Tacoma/1007-S-74th-St-98408/home/2943068,NWMLS,1992183,N,Y,47.1902961,-122.4476745
MLS Listing,,Single Family Residential,6810 Fawcett Ave,Tacoma,WA,98408,374950,3,1.0,Se Tacoma,1002,6500,1944,25,374,,Active,,,https://www.redfin.com/WA/Tacoma/6810-Fawcett-Ave-98408/home/2977440,NWMLS,1993429,N,Y,47.1948637,-122.4382561
MLS Listing,,Single Family Residential,10632 4th Ave SW,Seattle,WA,98146,555000,3,2.5,Highland Park,1460,4134,2003,25,380,,Active,,,https://www.redfin.com/WA/Seattle/10632-4th-Ave-SW-98146/home/181726,NWMLS,1993981,N,Y,47.5076857,-122.3387857
MLS Listing,,Single Family Residential,12224 N Park Ave N,Seattle,WA,98133,399000,2,1.0,Bitter Lake,1040,6103,1926,12,384,,Active,,,https://www.redfin.com/WA/Seattle/12224-N-Park-Ave-N-98133/home/98036,NWMLS,1991847,N,Y,47.7185078,-122.3492494
MLS Listing,,Single Family Residential,909 N Sheridan Ave,Tacoma,WA,98403,770000,3,2.0,North Tacoma,1872,6500,1924,27,411,,Active,,,https://www.redfin.com/WA/Tacoma/909-N-Sheridan-Ave-98403/home/2713997,NWMLS,1992916,N,Y,47.2614278,-122.4650422
MLS Listing,,Single Family Residential,6723 Whitman St NE,Tacoma,WA,98422,859000,3,3.5,Dash Point,1494,2800,1919,27,575,,Active,,,https://www.redfin.com/WA/Tacoma/6723-Whitman-St-NE-98422/home/2780210,NWMLS,1990262,N,Y,47.3183269,-122.429672
MLS Listing,,Condo/Co-op,2309 10th Ave E Unit D,Seattle,WA,98102,599000,2,1.0,North Capitol Hill,1013,,1910,27,591,375,Active,,,https://www.redfin.com/WA/Seattle/2309-10th-Ave-E-98102/unit-D/home/181488810,NWMLS,1992089,N,Y,47.6399042,-122.3204795
MLS Listing,,Condo/Co-op,655 Crockett St Unit B303,Seattle,WA,98109,538895,1,1.0,Westlake,728,,2004,28,740,475,Active,,,https://www.redfin.com/WA/Seattle/655-Crockett-St-98109/unit-B303/home/2077180,NWMLS,1989116,N,Y,47.6372788,-122.3439708
MLS Listing,,Townhouse,734 116th St E,Tacoma,WA,98445,380888,3,2.5,Midland,1470,2203,2005,30,259,118,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/WA/Tacoma/734-116th-St-E-98445/home/3036202,NWMLS,1991852,N,Y,47.151842,-122.421748
MLS Listing,,Townhouse,837 NW 52nd St Unit B,Seattle,WA,98107,979000,3,2.5,Ballard,1550,1391,2016,33,632,,Active,,,https://www.redfin.com/WA/Seattle/837-NW-52nd-St-98107/unit-B/home/106722390,NWMLS,1990782,N,Y,47.6662643,-122.3679852
MLS Listing,,Single Family Residential,3114 S 13th St,Tacoma,WA,98405,339000,2,1.0,Tacoma,844,5405,1918,34,402,,Active,,,https://www.redfin.com/WA/Tacoma/3114-S-13th-St-98405/home/3005396,NWMLS,1990121,N,Y,47.2489664,-122.4770281
MLS Listing,,Townhouse,5433 California Ave SW Unit C,Seattle,WA,98136,765000,3,2.0,Seaview,1395,840,2017,34,548,95,Active,October-8-2022 01:00 PM,October-8-2022 04:00 PM,https://www.redfin.com/WA/Seattle/5433-California-Ave-SW-98136/unit-C/home/112863583,NWMLS,1988690,N,Y,47.5529348,-122.3871845
