SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2026 E 35th St,Tacoma,WA,98404,599999,5,3.0,East Tacoma,2365,6500,2022,10,254,,Active,,,https://www.redfin.com/WA/Tacoma/2026-E-35th-St-98404/home/2845839,NWMLS,2017050,N,Y,47.2323345,-122.4013557
MLS Listing,,Single Family Residential,1023 E 45th,Tacoma,WA,98404,439500,4,2.0,McKinley,1310,7500,1959,11,335,,Active,,,https://www.redfin.com/WA/Tacoma/1023-E-45th-St-98404/home/2918339,NWMLS,2017345,N,Y,47.2165015,-122.4168662
MLS Listing,,Single Family Residential,15001 11th Ave E,Tacoma,WA,98445,474950,3,2.0,Parkland,1412,12020,1969,19,336,,Active,,,https://www.redfin.com/WA/Tacoma/15001-11th-Ave-E-98445/home/2798226,NWMLS,2014767,N,Y,47.1207755,-122.4163782
MLS Listing,,Single Family Residential,4308 McKinley Ave,Tacoma,WA,98404,385000,3,2.0,McKinley,1006,4200,1992,24,383,,Active,,,https://www.redfin.com/WA/Tacoma/4308-E-McKinley-Ave-98404/home/2943364,NWMLS,2013686,N,Y,47.2180906,-122.4212446
MLS Listing,,Condo/Co-op,11560 Stone Ave N #101,Seattle,WA,98133,469000,3,2.5,Northgate,1216,,2000,31,386,768,Active,,,https://www.redfin.com/WA/Seattle/11560-Stone-Ave-N-98133/unit-101/home/2085023,NWMLS,2012191,N,Y,47.7139633,-122.3419696
MLS Listing,,Single Family Residential,5450 25th Ave SW,Seattle,WA,98106,500000,2,1.0,Delridge,960,4800,1948,38,521,,Active,,,https://www.redfin.com/WA/Seattle/5450-25th-Ave-SW-98106/home/158946,NWMLS,2009996,N,Y,47.5522635,-122.3640189
MLS Listing,,Single Family Residential,1205 S Madison St,Tacoma,WA,98405,375000,2,1.5,Central Tacoma,1936,6000,1946,38,194,,Active,,,https://www.redfin.com/WA/Tacoma/1205-S-Madison-St-98405/home/2958892,NWMLS,2008361,N,Y,47.2497555,-122.4899948
MLS Listing,,Condo/Co-op,1240 5th Ave N #101,Seattle,WA,98109,825000,2,2.0,Queen Anne,1514,,1998,39,545,896,Active,,,https://www.redfin.com/WA/Seattle/1240-5th-Ave-N-98109/unit-101/home/18325,NWMLS,2009375,N,Y,47.6309883,-122.3471811
MLS Listing,,Single Family Residential,3016 N 34th St,Tacoma,WA,98407,639000,2,1.0,Old Town,876,6000,1921,49,729,,Active,,,https://www.redfin.com/WA/Tacoma/3016-N-34th-St-98407/home/2979570,NWMLS,2005656,N,Y,47.2782346,-122.4760673
MLS Listing,,Condo/Co-op,6114 N 16th St Unit J102,Tacoma,WA,98406,315000,3,1.5,Highlands,1177,3920,1977,67,268,423,Active,December-4-2022 11:00 AM,December-4-2022 02:00 PM,https://www.redfin.com/WA/Tacoma/6114-N-16th-St-98406/unit-J102/home/2836445,NWMLS,1997756,N,Y,47.264603,-122.518428
MLS Listing,,Single Family Residential,3702 E Roosevelt Ave,Tacoma,WA,98404,529950,5,2.5,Tacoma,2373,6875,2022,97,223,,Active,,,https://www.redfin.com/WA/Tacoma/3702-E-Roosevelt-Ave-98404/home/106418693,NWMLS,1987414,N,Y,47.2254035,-122.3990778
MLS Listing,,Single Family Residential,1420 128TH St E,Tacoma,WA,98445,880000,4,3.0,Summit,2215,217800,1963,154,397,,Active,,,https://www.redfin.com/WA/Tacoma/1420-128th-St-E-98445/home/2568700,NWMLS,1958995,N,Y,47.139614,-122.4095428
