SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1709 S Mason Ave,Tacoma,WA,98405,449950,3,1.0,Tacoma,1128,7995,1968,12,399,,Active,,,https://www.redfin.com/WA/Tacoma/1709-S-Mason-Ave-98405/home/2959114,NWMLS,1941522,N,Y,47.2444958,-122.4939631
MLS Listing,,Single Family Residential,7505 Ravenna Ave NE,Seattle,WA,98115,890000,2,1.5,Ravenna,1240,4000,1950,13,718,,Active,June-18-2022 02:00 PM,June-18-2022 04:00 PM,https://www.redfin.com/WA/Seattle/7505-Ravenna-Ave-NE-98115/home/310026,NWMLS,1943801,N,Y,47.6832404,-122.3042584
MLS Listing,,Single Family Residential,3724 N 19th St,Tacoma,WA,98406,465000,2,1.0,Proctor,834,5525,1941,5,558,,Active,June-16-2022 05:00 PM,June-16-2022 07:00 PM,https://www.redfin.com/WA/Tacoma/3724-N-19th-St-98406/home/2964013,NWMLS,1947399,N,Y,47.2662026,-122.4869526
MLS Listing,,Single Family Residential,1130 N 82nd St,Seattle,WA,98103,945000,2,2.0,Green Lake,1800,3720,1951,6,525,,Active,,,https://www.redfin.com/WA/Seattle/1130-N-82nd-St-98103/home/306681,NWMLS,1947279,N,Y,47.6885857,-122.3429992
MLS Listing,,Single Family Residential,126 158th St E,Tacoma,WA,98445,439950,3,2.0,Spanaway,1568,10560,1969,7,281,,Active,,,https://www.redfin.com/WA/Tacoma/126-158th-St-E-98445/home/2730760,NWMLS,1947260,N,Y,47.1135397,-122.4299825
MLS Listing,,Single Family Residential,8430 Fawcett Ave,Tacoma,WA,98444,420000,3,1.0,Tacoma,1028,8400,1954,10,409,,Active,,,https://www.redfin.com/WA/Tacoma/8430-Fawcett-Ave-98444/home/2752027,NWMLS,1946409,N,Y,47.1798218,-122.4383635
MLS Listing,,Single Family Residential,3505 N Verde St,Tacoma,WA,98407,875000,5,3.5,North Tacoma,2826,4050,1927,10,310,,Active,,,https://www.redfin.com/WA/Tacoma/3505-N-Verde-St-98407/home/2840899,NWMLS,1946371,N,Y,47.2799132,-122.4970401
MLS Listing,,Single Family Residential,4620 N 24th St,Tacoma,WA,98406,879000,4,2.5,North Tacoma,2634,6444,2012,11,334,,Active,,,https://www.redfin.com/WA/Tacoma/4620-N-24th-St-98406/home/23427238,NWMLS,1945991,N,Y,47.2689672,-122.5002023
MLS Listing,,Condo/Co-op,1515 Dock St #409,Tacoma,WA,98402,485000,1,1.0,Tacoma,1096,,2008,11,443,489,Active,,,https://www.redfin.com/WA/Tacoma/1515-Dock-St-98402/unit-409/home/18602566,NWMLS,1943837,N,Y,47.2491064,-122.4346829
MLS Listing,,Single Family Residential,201 150th Street Ct E,Tacoma,WA,98445,464950,3,2.0,Parkland,1289,10512,1994,11,361,,Active,,,https://www.redfin.com/WA/Tacoma/201-150th-St-Ct-E-98445/home/2864140,NWMLS,1945862,N,Y,47.1203746,-122.4292974
MLS Listing,,Single Family Residential,3213 44th St NE,Tacoma,WA,98422,680000,4,2.5,Browns Point,2526,7524,2003,12,269,25,Active,,,https://www.redfin.com/WA/Tacoma/3213-44th-St-NE-98422/home/3025501,NWMLS,1938233,N,Y,47.296892,-122.404641
MLS Listing,,Single Family Residential,129 29th Ave E Unit B,Seattle,WA,98112,819950,2,2.5,Madison Valley,960,1620,2022,12,854,24,Active,,,https://www.redfin.com/WA/Seattle/129-29th-Ave-E-98112/unit-B/home/179713239,NWMLS,1944032,N,Y,47.6197685,-122.2951004
MLS Listing,,Single Family Residential,6121 N 40th St,Tacoma,WA,98407,560000,3,2.5,North Tacoma,1558,6444,1980,8,359,,Active,,,https://www.redfin.com/WA/Tacoma/6121-N-40th-St-98407/home/2768611,NWMLS,1942404,N,Y,47.285944,-122.5192163
MLS Listing,,Single Family Residential,5109 77th St E,Tacoma,WA,98443,649000,3,2.5,Summit,1904,20006,1998,12,341,10,Active,,,https://www.redfin.com/WA/Tacoma/5109-77th-St-E-98443/home/2871475,NWMLS,1944882,N,Y,47.1875484,-122.3609184
MLS Listing,,Single Family Residential,7433 39th Ave S,Seattle,WA,98118,988000,5,3.5,Beacon Hill,2610,3623,2005,12,379,77,Active,,,https://www.redfin.com/WA/Seattle/7433-39th-Ave-S-98118/home/2087709,NWMLS,1942666,N,Y,47.5351533,-122.2838835
MLS Listing,,Single Family Residential,9014 20th Ave NE,Seattle,WA,98115,730000,3,2.0,Maple Leaf,1150,3120,1923,12,635,,Active,June-18-2022 02:00 PM,June-18-2022 04:00 PM,https://www.redfin.com/WA/Seattle/9014-20th-Ave-NE-98115/home/107371,NWMLS,1942392,N,Y,47.694405,-122.3066943
MLS Listing,,Single Family Residential,810 N Proctor St,Tacoma,WA,98406,525000,3,1.0,North Tacoma,1252,3773,1913,12,419,,Active,,,https://www.redfin.com/WA/Tacoma/810-N-Proctor-St-98406/home/2948827,NWMLS,1939970,N,Y,47.2575808,-122.4891734
MLS Listing,,Single Family Residential,1025 E 63rd St,Tacoma,WA,98404,389900,3,1.0,Tacoma,1060,6000,1978,13,368,,Active,,,https://www.redfin.com/WA/Tacoma/1025-E-63rd-St-98404/home/2916568,NWMLS,1933876,N,Y,47.2001538,-122.41575
MLS Listing,,Single Family Residential,1224 121st St S,Tacoma,WA,98444,365000,2,1.0,Parkland,1011,5000,1949,14,361,,Active,,,https://www.redfin.com/WA/Tacoma/1224-121st-St-S-98444/home/2766347,NWMLS,1938183,N,Y,47.1475097,-122.4514771
MLS Listing,,Condo/Co-op,2030 Western Ave #501,Seattle,WA,98121,439000,1,1.0,Belltown,657,,1989,18,668,628,Active,,,https://www.redfin.com/WA/Seattle/2030-Western-Ave-98121/unit-501/home/9792,NWMLS,1939401,N,Y,47.6112139,-122.3442471
MLS Listing,,Single Family Residential,13202 B St E,Tacoma,WA,98445,479000,3,2.0,Brookdale,1620,10000,1957,18,296,,Active,June-16-2022 04:00 PM,June-16-2022 07:00 PM,https://www.redfin.com/WA/Tacoma/13202-B-St-E-98445/home/2741219,NWMLS,1941326,N,Y,47.1371339,-122.4294361
MLS Listing,,Single Family Residential,9252 S Park Ave,Tacoma,WA,98444,599000,5,3.0,Tacoma,3846,21816,1900,19,156,,Active,,,https://www.redfin.com/WA/Tacoma/9252-S-Park-Ave-98444/home/2615881,NWMLS,1941017,N,Y,47.1720737,-122.4423058
MLS Listing,,Single Family Residential,113 119th St S,Tacoma,WA,98444,470000,3,2.0,Tacoma,1344,7405,1945,19,350,,Active,,,https://www.redfin.com/WA/Tacoma/113-119th-St-S-98444/home/2560690,NWMLS,1939561,N,Y,47.149144,-122.4322559
MLS Listing,,Single Family Residential,6616 S Oakes St,Tacoma,WA,98409,349500,2,1.0,Tacoma,850,6000,1930,21,411,,Active,,,https://www.redfin.com/WA/Tacoma/6616-S-Oakes-St-98409/home/2985356,NWMLS,1940113,N,Y,47.1967822,-122.4726511
MLS Listing,,Condo/Co-op,323 Queen Anne Ave N #207,Seattle,WA,98109,449000,1,1.0,Queen Anne,741,,1999,22,606,604,Active,,,https://www.redfin.com/WA/Seattle/323-Queen-Anne-Ave-N-98109/unit-207/home/2115958,NWMLS,1938360,N,Y,47.6217302,-122.3570297
MLS Listing,,Single Family Residential,18809 30th Ave E,Tacoma,WA,98446,769950,4,3.0,Frederickson,2800,65340,1979,22,275,,Active,,,https://www.redfin.com/WA/Tacoma/18809-30th-Ave-E-98446/home/2584063,NWMLS,1936413,N,Y,47.0854821,-122.389495
MLS Listing,,Single Family Residential,1913 135th St E,Tacoma,WA,98445,540000,4,2.5,Crescent Park,2335,9583,1996,25,231,19,Active,,,https://www.redfin.com/WA/Tacoma/1913-135th-St-E-98445/home/2865733,NWMLS,1938600,N,Y,47.1343507,-122.4036494
MLS Listing,,Single Family Residential,1215 E 62nd St,Tacoma,WA,98404,515000,4,2.0,East Tacoma,1488,6000,1977,25,346,,Active,,,https://www.redfin.com/WA/Tacoma/1215-E-62nd-St-98404/home/2916763,NWMLS,1937230,N,Y,47.2010249,-122.4125954
MLS Listing,,Single Family Residential,2318 Martin Luther King Jr Way,Tacoma,WA,98405,474000,3,1.5,New Tacoma,1295,4875,1910,25,366,,Active,,,https://www.redfin.com/WA/Tacoma/2318-M-L-K-Jr-Way-98405/home/2967592,NWMLS,1937854,N,Y,47.2388887,-122.4490095
MLS Listing,,Single Family Residential,3710 54th St E,Tacoma,WA,98443,710000,4,3.5,Summit,2414,37026,1985,25,294,,Active,,,https://www.redfin.com/WA/Tacoma/3710-54th-St-E-98443/home/2598145,NWMLS,1937870,N,Y,47.207658,-122.379078
