SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,4832 Delridge Way SW Unit A,Seattle,WA,98106,629950,3,2.5,Delridge,1250,2009,2009,22,504,,Active,September-10-2022 02:00 PM,September-10-2022 04:00 PM,https://www.redfin.com/WA/Seattle/4832-Delridge-Way-SW-98106/unit-A/home/160320,NWMLS,1984749,N,Y,47.5582886,-122.3626366
MLS Listing,,Townhouse,1917 15th Ave S Unit B,Seattle,WA,98144,825000,3,3.0,N Beacon Hill,1580,1086,2018,30,522,,Active,September-10-2022 11:00 AM,September-10-2022 01:00 PM,https://www.redfin.com/WA/Seattle/1917-15th-Ave-S-98144/unit-B/home/143457354,NWMLS,1981256,N,Y,47.5858278,-122.3137366
MLS Listing,,Condo/Co-op,500 Mercer St Unit F230,Seattle,WA,98109,409000,1,1.0,Seattle,515,,2007,37,794,387,Active,September-11-2022 02:00 PM,September-11-2022 04:00 PM,https://www.redfin.com/WA/Seattle/500-Mercer-St-98109/unit-F230/home/12091720,NWMLS,1978644,N,Y,47.6247685,-122.347144
MLS Listing,,Single Family Residential,417 E 62nd St,Tacoma,WA,98404,569950,4,2.5,Tacoma,1951,6000,2016,79,292,,Active,September-10-2022 11:00 AM,September-10-2022 01:00 PM,https://www.redfin.com/WA/Tacoma/417-E-62nd-St-98404/home/101682923,NWMLS,1954405,N,Y,47.2011448,-122.4251007
MLS Listing,,Single Family Residential,507 N 90th St,Seattle,WA,98103,689000,2,2.0,Greenwood,1110,1650,2022,1,621,60,Active,September-10-2022 01:00 PM,September-10-2022 04:00 PM,https://www.redfin.com/WA/Seattle/507-N-90th-St-98103/home/181625227,NWMLS,1994071,N,Y,47.6941022,-122.3523396
MLS Listing,,Single Family Residential,10603 25th Ave E,Tacoma,WA,98445,559500,3,2.5,Midland,1536,13000,2020,8,364,,Active,,,https://www.redfin.com/WA/Tacoma/10603-25th-Ave-E-98445/home/2920718,NWMLS,1991566,N,Y,47.1594972,-122.3957984
MLS Listing,,Townhouse,5433 California Ave SW Unit C,Seattle,WA,98136,799500,3,2.0,Seaview,1395,840,2017,10,573,95,Active,,,https://www.redfin.com/WA/Seattle/5433-California-Ave-SW-98136/unit-C/home/112863583,NWMLS,1988690,N,Y,47.5529348,-122.3871845
MLS Listing,,Townhouse,11211 Greenwood Ave N Unit C,Seattle,WA,98133,699950,3,2.5,Greenwood,1340,1221,2002,11,522,,Active,September-11-2022 11:30 AM,September-11-2022 01:00 PM,https://www.redfin.com/WA/Seattle/11211-Greenwood-Ave-N-98133/unit-C/home/95315,NWMLS,1989774,N,Y,47.7108683,-122.3560628
MLS Listing,,Condo/Co-op,1920 4th Ave #1807,Seattle,WA,98101,765000,1,1.5,Downtown,952,,2010,15,804,833,Active,September-10-2022 12:00 PM,September-10-2022 02:00 PM,https://www.redfin.com/WA/Seattle/1920-4th-Ave-98101/unit-1807/home/28624171,NWMLS,1988108,N,Y,47.6130983,-122.3394215
MLS Listing,,Single Family Residential,6809 McKinley Ave,Tacoma,WA,98404,335000,3,1.0,McKinley,1232,5000,1959,15,272,,Active,,,https://www.redfin.com/WA/Tacoma/6809-E-McKinley-Ave-98404/home/2606217,NWMLS,1988986,N,Y,47.1949625,-122.4206059
MLS Listing,,Single Family Residential,4306 E Brookdale Rd,Tacoma,WA,98446,665000,3,2.5,Brookdale,2435,43560,1979,15,273,,Active,September-11-2022 11:00 AM,September-11-2022 02:00 PM,https://www.redfin.com/WA/Tacoma/4306-Brookdale-Rd-E-98446/home/2575875,NWMLS,1988748,N,Y,47.1156224,-122.3707301
MLS Listing,,Single Family Residential,13319 31st Ave NE,Seattle,WA,98125,800000,3,2.0,Olympic Hills,1920,7500,1957,15,417,,Active,September-10-2022 12:00 PM,September-10-2022 03:00 PM,https://www.redfin.com/WA/Seattle/13319-31st-Ave-NE-98125/home/115680,NWMLS,1987889,N,Y,47.7252604,-122.2948522
MLS Listing,,Single Family Residential,5420 S Thompson Ave,Tacoma,WA,98408,489500,3,2.0,South Tacoma,1730,6250,1914,16,283,,Active,September-11-2022 03:00 PM,September-11-2022 05:00 PM,https://www.redfin.com/WA/Tacoma/5420-S-Thompson-Ave-98408/home/2970446,NWMLS,1988037,N,Y,47.2074831,-122.444802
MLS Listing,,Townhouse,9205 Greenwood Ave N Unit B,Seattle,WA,98103,699950,2,2.5,Greenwood,1459,887,2022,19,480,,Active,September-10-2022 12:00 PM,September-10-2022 02:00 PM,https://www.redfin.com/WA/Seattle/9205-Greenwood-Ave-N-98103/unit-B/home/181027169,NWMLS,1986547,N,Y,47.6963205,-122.3556661
MLS Listing,,Single Family Residential,14515 20th Avenue Ct E,Tacoma,WA,98445,510000,5,3.0,Parkland,1926,5109,2012,22,265,,Active,,,https://www.redfin.com/WA/Tacoma/14515-20th-Ave-Ct-E-98445/home/22792011,NWMLS,1984650,N,Y,47.1246045,-122.4017362
MLS Listing,,Single Family Residential,1515 S 8th St,Tacoma,WA,98405,399990,2,1.0,Hilltop,2064,1740,1929,8,194,,Active,,,https://www.redfin.com/WA/Tacoma/1515-S-8th-St-98405/home/2706447,NWMLS,1985779,N,Y,47.2545518,-122.4590486
MLS Listing,,Single Family Residential,5112 86th Street Ct E,Tacoma,WA,98446,649950,3,3.0,Summit,2218,16803,1995,23,293,25,Active,,,https://www.redfin.com/WA/Tacoma/5112-86th-St-Ct-E-98446/home/2864234,NWMLS,1985363,N,Y,47.1784596,-122.3597178
MLS Listing,,Single Family Residential,5633 30th Ave SW,Seattle,WA,98126,685000,3,1.5,West Seattle,1350,5750,1981,23,507,,Active,,,https://www.redfin.com/WA/Seattle/5633-30th-Ave-SW-98126/home/159280,NWMLS,1981094,N,Y,47.5509982,-122.3713005
MLS Listing,,Townhouse,704 23rd Ave S,Seattle,WA,98144,575000,3,1.0,Central Area,1130,1786,1997,23,509,109,Active,,,https://www.redfin.com/WA/Seattle/704-23rd-Ave-S-98144/home/142195,NWMLS,1983523,N,Y,47.5962431,-122.3020311
MLS Listing,,Single Family Residential,703 E 54th St,Tacoma,WA,98404,434000,2,1.0,McKinley,1572,6000,1921,24,276,,Active,September-10-2022 11:00 AM,September-10-2022 01:00 PM,https://www.redfin.com/WA/Tacoma/703-E-54th-St-98404/home/2738869,NWMLS,1976941,N,Y,47.2082945,-122.4225178
MLS Listing,,Condo/Co-op,125 Warren Ave N Unit J,Seattle,WA,98109,369000,1,1.0,Queen Anne,647,14400,1907,24,570,660,Active,,,https://www.redfin.com/WA/Seattle/125-Warren-Ave-N-98109/unit-J/home/12304968,NWMLS,1984932,N,Y,47.6194094,-122.3544063
MLS Listing,,Single Family Residential,1340 S Winnifred St,Tacoma,WA,98465,525000,3,1.5,Highlands,1272,8160,1968,29,413,,Active,September-10-2022 02:00 PM,September-10-2022 05:00 PM,https://www.redfin.com/WA/Tacoma/1340-S-Winnifred-St-98465/home/2835038,NWMLS,1981190,N,Y,47.2476105,-122.5120264
MLS Listing,,Condo/Co-op,1116 S 27th St Unit D201,Tacoma,WA,98409,235000,1,1.0,South Tacoma,600,,1968,30,392,399,Active,,,https://www.redfin.com/WA/Tacoma/1116-S-27th-St-98409/unit-D201/home/18602443,NWMLS,1980042,N,Y,47.2352263,-122.4487561
MLS Listing,,Single Family Residential,13520 13th Ave S,Tacoma,WA,98444,635000,5,3.0,Brookdale,2576,9824,1983,30,247,,Active,,,https://www.redfin.com/WA/Tacoma/13520-13th-Ave-S-98444/home/2992607,NWMLS,1979215,N,Y,47.1344111,-122.4526241
MLS Listing,,Single Family Residential,1615 E 67th St,Tacoma,WA,98404,400000,3,2.0,Se Tacoma,1090,5000,1989,31,367,,Active,September-10-2022 11:00 AM,September-10-2022 02:00 PM,https://www.redfin.com/WA/Tacoma/1615-E-67th-St-98404/home/2977129,NWMLS,1981679,N,Y,47.1963284,-122.4067616
MLS Listing,,Single Family Residential,1005 E Harrison,Tacoma,WA,98404,480000,4,2.5,East Tacoma,1664,6500,1907,35,288,,Active,,,https://www.redfin.com/WA/Tacoma/1005-E-Harrison-St-98404/home/2717685,NWMLS,1978874,N,Y,47.2301436,-122.4173804
MLS Listing,,Condo/Co-op,1301 Spring St Unit 5F,Seattle,WA,98104,750000,2,2.0,First Hill,1290,,1982,35,581,1491,Active,,,https://www.redfin.com/WA/Seattle/1301-Spring-St-98104/unit-5F/home/40702,NWMLS,1977885,N,Y,47.6110547,-122.3225259
MLS Listing,,Single Family Residential,16416 18th Ave E,Tacoma,WA,98445,434950,4,2.5,Spanaway,1752,6144,1999,36,248,,Active,,,https://www.redfin.com/WA/Tacoma/16416-18th-Ave-E-98445/home/2876996,NWMLS,1979854,N,Y,47.1085586,-122.4056647
MLS Listing,,Multi-Family (2-4 Unit),508 510 136th St E,Tacoma,WA,98445,899500,9,5.0,Brookdale,3788,22564,1994,36,237,,Active,,,https://www.redfin.com/WA/Tacoma/510-136th-St-E-98445/home/2981748,NWMLS,1979829,N,Y,47.13253,-122.425031
MLS Listing,,Single Family Residential,12050 22nd Ave NE,Seattle,WA,98125,709950,3,2.0,Victory Heights,1760,8160,1947,36,403,,Active,,,https://www.redfin.com/WA/Seattle/12050-22nd-Ave-NE-98125/home/116262,NWMLS,1979668,N,Y,47.7172098,-122.3054473
MLS Listing,,Single Family Residential,15009 25th Ave E,Tacoma,WA,98445,464000,3,2.0,Brookdale,1580,9860,1973,36,294,,Active,September-11-2022 11:00 AM,September-11-2022 02:00 PM,https://www.redfin.com/WA/Tacoma/15009-25th-Ave-E-98445/home/2947279,NWMLS,1977602,N,Y,47.1203817,-122.396582
MLS Listing,,Condo/Co-op,1101 A St #605,Tacoma,WA,98402,399950,1,1.0,Tacoma,678,174,1919,37,590,345,Active,,,https://www.redfin.com/WA/Tacoma/1101-A-St-98402/unit-605/home/3030812,NWMLS,1977770,N,Y,47.2533388,-122.436765
MLS Listing,,Single Family Residential,9046 1st Ave NW,Seattle,WA,98117,839000,3,2.0,Greenwood,1100,8451,1946,38,763,,Active,September-10-2022 02:00 PM,September-10-2022 04:00 PM,https://www.redfin.com/WA/Seattle/9046-1st-Ave-NW-98117/home/100621,NWMLS,1977471,N,Y,47.6956568,-122.3577878
MLS Listing,,Single Family Residential,1414 S 55th St,Tacoma,WA,98408,389999,3,1.0,South Tacoma,940,6400,1918,38,415,,Active,,,https://www.redfin.com/WA/Tacoma/1414-S-55th-St-98408/home/2842603,NWMLS,1978088,N,Y,47.2071748,-122.4531834
MLS Listing,,Single Family Residential,8343 Martin Luther King Jr. Way S,Seattle,WA,98118,660250,5,3.0,Beacon Hill,2000,4553,1976,44,330,,Active,September-11-2022 01:30 PM,September-11-2022 03:30 PM,https://www.redfin.com/WA/Seattle/8343-Martin-Luther-King-Jr-Way-S-98118/home/480487,NWMLS,1966473,N,Y,47.5280085,-122.2806671
MLS Listing,,Single Family Residential,3006 N Bennett St,Tacoma,WA,98407,419000,2,1.0,North Tacoma,714,6300,1951,50,587,,Active,,,https://www.redfin.com/WA/Tacoma/3006-N-Bennett-St-98407/home/2990572,NWMLS,1966896,N,Y,47.2745109,-122.5097609
MLS Listing,,Condo/Co-op,505 Belmont Ave E #405,Seattle,WA,98102,675000,2,2.0,Capitol Hill,1042,,1962,50,648,760,Active,September-11-2022 02:00 PM,September-11-2022 04:00 PM,https://www.redfin.com/WA/Seattle/505-Belmont-Ave-E-98102/unit-405/home/32904,NWMLS,1972668,N,Y,47.6234687,-122.3244106
