SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,215 S 64th St,Tacoma,WA,98408,309000,2,1.0,Tacoma,1056,3876,1939,15,293,,Active,,,https://www.redfin.com/WA/Tacoma/215-S-64th-St-98408/home/2916280,NWMLS,1996965,N,Y,47.1993315,-122.4348504
MLS Listing,,Single Family Residential,117 Wild Rose St,Fircrest,WA,98466,539000,4,2.5,Fircrest,1677,2029,2006,19,321,112,Active,,,https://www.redfin.com/WA/Fircrest/117-Wild-Rose-St-98466/home/8185349,NWMLS,1994807,N,Y,47.2178064,-122.5059693
MLS Listing,,Single Family Residential,4149 32nd Ave SW,Seattle,WA,98126,724950,3,2.0,Fairmount,1150,6860,1951,27,630,,Active,October-9-2022 11:00 AM,October-9-2022 01:00 PM,https://www.redfin.com/WA/Seattle/4149-32nd-Ave-SW-98126/home/159571,NWMLS,1993266,N,Y,47.5652842,-122.3739963
MLS Listing,,Condo/Co-op,2424 S 41st St #536,Tacoma,WA,98409,385000,3,3.0,Tacoma,1302,,2008,92,296,504,Active,,,https://www.redfin.com/WA/Tacoma/2424-S-41st-St-98409/unit-536/home/103960194,NWMLS,1959040,N,Y,47.2195987,-122.468962
MLS Listing,,Single Family Residential,6817 5th Street Ct E,Tacoma,WA,98424,499999,3,2.5,Fife,1930,4420,2003,104,259,100,Active,,,https://www.redfin.com/WA/Tacoma/6817-5th-St-Ct-E-98424/home/3025087,NWMLS,1956413,N,Y,47.2522541,-122.3376397
MLS Listing,,Single Family Residential,608 E 56th St,Tacoma,WA,98404,425000,3,2.0,East Tacoma,1203,5950,1968,6,353,,Active,,,https://www.redfin.com/WA/Tacoma/608-E-56th-St-98404/home/2989859,NWMLS,2001642,N,Y,47.2060915,-122.4231673
MLS Listing,,Single Family Residential,9422 24th Ave E,Tacoma,WA,98445,480000,3,2.0,Midland,1700,24225,1940,7,282,,Active,,,https://www.redfin.com/WA/Tacoma/9422-24th-Ave-E-98445/home/2920889,NWMLS,2001172,N,Y,47.1709006,-122.3974612
MLS Listing,,Single Family Residential,2120 155th St E,Tacoma,WA,98445,400000,3,2.0,Brookdale,1704,10170,1987,8,235,,Active,,,https://www.redfin.com/WA/Tacoma/2120-155th-St-E-98445/home/2773019,NWMLS,2000408,N,Y,47.1158117,-122.4003014
MLS Listing,,Single Family Residential,9252 NW 9th Ave,Seattle,WA,98117,825000,4,2.0,Crown Hill,2180,5993,1950,9,378,,Active,,,https://www.redfin.com/WA/Seattle/9252-9th-Ave-NW-98117/home/100437,NWMLS,2000468,N,Y,47.6975684,-122.3684823
MLS Listing,,Single Family Residential,10056 38th Ave NE,Seattle,WA,98125,730000,3,1.0,Matthews Beach,830,7800,1945,14,880,,Active,,,https://www.redfin.com/WA/Seattle/10056-38th-Ave-NE-98125/home/113901,NWMLS,1998694,N,Y,47.7026164,-122.2877866
MLS Listing,,Condo/Co-op,1545 NW 57th St #302,Seattle,WA,98107,485000,1,1.0,Ballard,854,,2003,13,568,513,Active,,,https://www.redfin.com/WA/Seattle/1545-NW-57th-St-98107/unit-302/home/175726983,NWMLS,1997305,N,Y,47.6699146,-122.3784177
MLS Listing,,Single Family Residential,5954 49th Ave SW Unit B,Seattle,WA,98136,799000,2,2.0,Seaview,1433,1948,2022,19,558,24,Active,,,https://www.redfin.com/WA/Seattle/5954-49th-Ave-SW-98136/unit-B/home/181812343,NWMLS,1996447,N,Y,47.5487422,-122.3948092
MLS Listing,,Single Family Residential,3819 21st Ave SW,Seattle,WA,98106,775999,4,2.0,Pigeon Point,1400,5000,1936,19,554,,Active,,,https://www.redfin.com/WA/Seattle/3819-21st-Ave-SW-98106/home/160023,NWMLS,1997042,N,Y,47.5695596,-122.3603153
MLS Listing,,Single Family Residential,3533 S Cushman Ave,Tacoma,WA,98414,285000,3,1.0,South Tacoma,1364,6000,1913,19,209,,Active,,,https://www.redfin.com/WA/Tacoma/3533-S-Cushman-Ave-98418/home/2977856,NWMLS,1997012,N,Y,47.2268366,-122.4532213
MLS Listing,,Single Family Residential,6001 S Huson St,Tacoma,WA,98409,454500,3,2.0,Manitou,1344,7994,1979,20,338,,Active,October-9-2022 12:00 PM,October-9-2022 02:00 PM,https://www.redfin.com/WA/Tacoma/6001-S-Huson-St-98409/home/2474204,NWMLS,1996412,N,Y,47.2023089,-122.5030487
MLS Listing,,Townhouse,205 27th Ave E Unit C,Seattle,WA,98112,995000,3,3.5,Madison Valley,1860,1736,2008,20,535,,Active,,,https://www.redfin.com/WA/Seattle/205-27th-Ave-E-98112/unit-C/home/146814,NWMLS,1995355,N,Y,47.6205219,-122.2977583
MLS Listing,,Townhouse,217 NW 65th St,Seattle,WA,98117,799950,3,2.5,Phinney Ridge,1560,650,2022,20,513,,Active,,,https://www.redfin.com/WA/Seattle/217-NW-65th-St-98117/home/181783482,NWMLS,1991478,N,Y,47.6758132,-122.3602154
MLS Listing,,Single Family Residential,1101 E 55th St,Tacoma,WA,98404,395000,3,2.0,East Tacoma,1660,6000,1912,9,238,,Active,,,https://www.redfin.com/WA/Tacoma/1101-E-55th-St-98404/home/69367242,NWMLS,1995844,N,Y,47.2074033,-122.4151315
MLS Listing,,Townhouse,2008 Thorndyke Ave W,Seattle,WA,98199,600000,1,1.5,Magnolia,751,686,2020,21,799,,Active,,,https://www.redfin.com/WA/Seattle/2008-Thorndyke-Ave-W-98199/home/171917042,NWMLS,1995515,N,Y,47.6372834,-122.3885582
MLS Listing,,Single Family Residential,10224 B St E,Tacoma,WA,98445,389000,3,2.0,Midland,1602,9900,1952,22,243,,Active,,,https://www.redfin.com/WA/Parkland/10224-B-St-E-98445/home/2933266,NWMLS,1995308,N,Y,47.163835,-122.429949
MLS Listing,,Single Family Residential,66 Bell St #56,Seattle,WA,98121,448888,1,1.0,Belltown,669,14414,1908,25,671,528,Active,,,https://www.redfin.com/WA/Seattle/66-Bell-St-98121/unit-56/home/24465,NWMLS,1994622,N,Y,47.6126356,-122.3477932
MLS Listing,,Single Family Residential,3553 SW 100th St,Seattle,WA,98146,999000,4,2.5,Arbor Heights,2250,5691,2000,25,444,,Active,,,https://www.redfin.com/WA/Seattle/3553-SW-100th-St-98146/home/155367,NWMLS,1989771,N,Y,47.5132186,-122.3785331
MLS Listing,,Single Family Residential,624 NW 81st St,Seattle,WA,98117,859950,3,1.5,Greenwood,2200,4800,1932,25,391,,Active,October-8-2022 01:00 PM,October-8-2022 03:00 PM,https://www.redfin.com/WA/Seattle/624-NW-81st-St-98117/home/496964,NWMLS,1992881,N,Y,47.6878393,-122.3644878
MLS Listing,,Townhouse,4011 SW Thistle St Unit B,Seattle,WA,98136,649999,2,2.0,Gatewood,952,795,2022,26,683,49,Active,,,https://www.redfin.com/WA/Seattle/4011-SW-Thistle-St-98136/unit-B/home/181683049,NWMLS,1994070,N,Y,47.528248,-122.3835023
MLS Listing,,Single Family Residential,6810 Fawcett Ave,Tacoma,WA,98408,374950,3,1.0,Se Tacoma,1002,6500,1944,26,374,,Active,,,https://www.redfin.com/WA/Tacoma/6810-Fawcett-Ave-98408/home/2977440,NWMLS,1993429,N,Y,47.1948637,-122.4382561
MLS Listing,,Single Family Residential,7642 39th Ave S,Seattle,WA,98118,699950,3,2.5,Seattle,1320,2474,2005,26,530,77,Active,,,https://www.redfin.com/WA/Seattle/7642-39th-Ave-S-98118/home/2061558,NWMLS,1992726,N,Y,47.5335672,-122.2831789
MLS Listing,,Townhouse,8034 Mary Ave NW Unit B,Seattle,WA,98117,859999,3,2.5,Crown Hill,1697,920,2022,27,507,,Active,October-8-2022 12:00 AM,October-8-2022 11:59 PM,https://www.redfin.com/WA/Seattle/8034-Mary-Ave-NW-98117/unit-B/home/181295259,NWMLS,1993539,N,Y,47.6879105,-122.3751351
MLS Listing,,Single Family Residential,909 N Sheridan Ave,Tacoma,WA,98403,770000,3,2.0,North Tacoma,1872,6500,1924,28,411,,Active,,,https://www.redfin.com/WA/Tacoma/909-N-Sheridan-Ave-98403/home/2713997,NWMLS,1992916,N,Y,47.2614278,-122.4650422
MLS Listing,,Condo/Co-op,2309 10th Ave E Unit D,Seattle,WA,98102,599000,2,1.0,North Capitol Hill,1013,,1910,28,591,375,Active,,,https://www.redfin.com/WA/Seattle/2309-10th-Ave-E-98102/unit-D/home/181488810,NWMLS,1992089,N,Y,47.6399042,-122.3204795
MLS Listing,,Single Family Residential,1031 S Rochester St,Tacoma,WA,98465,365000,2,1.0,Tacoma,746,7000,1943,29,489,,Active,,,https://www.redfin.com/WA/Tacoma/1031-S-Rochester-St-98465/home/2836153,NWMLS,1992469,N,Y,47.2506394,-122.5283104
MLS Listing,,Condo/Co-op,1017 Minor Ave #604,Seattle,WA,98910,699000,3,2.0,First Hill,1411,15366,1930,29,495,858,Active,October-8-2022 12:00 AM,October-8-2022 03:00 PM,https://www.redfin.com/WA/Seattle/1017-Minor-Ave-98104/unit-604/home/72983,NWMLS,1989516,N,Y,47.6102378,-122.3247605
MLS Listing,,Single Family Residential,6633 Flora Ave S,Seattle,WA,98108,609000,4,2.5,Georgetown,1104,4000,1950,30,552,,Active,,,https://www.redfin.com/WA/Seattle/6633-Flora-Ave-S-98108/home/476505,NWMLS,1991853,N,Y,47.5431641,-122.3207019
MLS Listing,,Townhouse,734 116th St E,Tacoma,WA,98445,380888,3,2.5,Midland,1470,2203,2005,31,259,118,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/WA/Tacoma/734-116th-St-E-98445/home/3036202,NWMLS,1991852,N,Y,47.151842,-122.421748
MLS Listing,,Single Family Residential,3001 S Adams St,Tacoma,WA,98409,445000,3,2.0,Oakland,2374,5600,1918,33,187,,Active,,,https://www.redfin.com/WA/Tacoma/3001-S-Adams-St-98409/home/2940456,NWMLS,1991147,N,Y,47.2330423,-122.485816
MLS Listing,,Single Family Residential,3114 S 13th St,Tacoma,WA,98405,339000,2,1.0,Tacoma,844,5405,1918,35,402,,Active,,,https://www.redfin.com/WA/Tacoma/3114-S-13th-St-98405/home/3005396,NWMLS,1990121,N,Y,47.2489664,-122.4770281
MLS Listing,,Townhouse,5433 California Ave SW Unit C,Seattle,WA,98136,765000,3,2.0,Seaview,1395,840,2017,35,548,95,Active,October-8-2022 01:00 PM,October-8-2022 04:00 PM,https://www.redfin.com/WA/Seattle/5433-California-Ave-SW-98136/unit-C/home/112863583,NWMLS,1988690,N,Y,47.5529348,-122.3871845
MLS Listing,,Single Family Residential,3514 Fawcett Ave,Tacoma,WA,98418,400000,4,2.0,Lincoln,1536,3480,1921,35,260,,Active,October-8-2022 11:00 AM,October-8-2022 02:00 PM,https://www.redfin.com/WA/Tacoma/3514-Fawcett-Ave-98418/home/2717408,NWMLS,1989618,N,Y,47.2282079,-122.4378919
MLS Listing,,Condo/Co-op,2145 Dexter Ave N #401,Seattle,WA,98109,624993,1,1.0,Lake Union,1068,,1985,41,585,670,Active,,,https://www.redfin.com/WA/SEATTLE/2145-DEXTER-AVE-N-98109/unit-401/home/41563,NWMLS,1988557,N,Y,47.638694,-122.344299
MLS Listing,,Single Family Residential,1309 Sherwood Ct E,Tacoma,WA,98445,409995,3,1.5,Spanaway,1220,8653,1972,42,336,,Active,,,https://www.redfin.com/WA/Tacoma/1309-Sherwood-Ct-E-98445/home/2966312,NWMLS,1987288,N,Y,47.1090936,-122.4106732
MLS Listing,,Single Family Residential,9355 31st Pl SW,Seattle,WA,98126,475000,3,1.0,Westwood Village,940,5000,1951,43,505,,Active,,,https://www.redfin.com/WA/Seattle/9355-31st-Pl-SW-98126/home/473734,NWMLS,1986794,N,Y,47.5182554,-122.3736938
MLS Listing,,Townhouse,8036 Mary Ave NW Unit C,Seattle,WA,98117,874999,3,2.5,Crown Hill,1670,1687,2022,43,524,,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/WA/Seattle/8036-Mary-Ave-NW-98117/unit-C/home/181231089,NWMLS,1986778,N,Y,47.6878575,-122.3749739
MLS Listing,,Single Family Residential,9323 Forest Ct SW,Seattle,WA,98136,999500,4,2.0,Fauntleroy,2118,10080,1952,38,472,,Active,,,https://www.redfin.com/WA/Seattle/9323-Forest-Ct-SW-98136/home/155604,NWMLS,1985795,N,Y,47.5191105,-122.3858752
MLS Listing,,Single Family Residential,1515 S 8th St,Tacoma,WA,98405,375000,2,1.0,Hilltop,2064,1740,1929,28,182,,Active,,,https://www.redfin.com/WA/Tacoma/1515-S-8th-St-98405/home/2706447,NWMLS,1985779,N,Y,47.2545518,-122.4590486
MLS Listing,,Single Family Residential,7525 25th Ave NW,Seattle,WA,98117,925000,3,2.0,Loyal Heights,1850,3880,1944,24,500,,Active,October-7-2022 04:00 PM,October-7-2022 06:00 PM,https://www.redfin.com/WA/Seattle/7525-25th-Ave-NW-98117/home/165559,NWMLS,1985284,N,Y,47.683937,-122.3889781
MLS Listing,,Single Family Residential,9052 9th Ave SW,Seattle,WA,98106,680000,6,3.0,Highland Park,2000,4760,1919,48,340,,Active,,,https://www.redfin.com/WA/Seattle/9052-9th-Ave-SW-98106/home/475493,NWMLS,1982413,N,Y,47.5212423,-122.3464764
MLS Listing,,Single Family Residential,4812 N 8th St,Tacoma,WA,98406,554000,3,1.0,North Tacoma,2612,7200,1946,19,212,,Active,,,https://www.redfin.com/WA/Tacoma/4812-N-8th-St-98406/home/2798252,NWMLS,1984479,N,Y,47.256899,-122.5014089
MLS Listing,,Condo/Co-op,1311 12th Ave S Unit C205,Seattle,WA,98144,504950,2,2.0,Beacon Hill,1148,,1985,50,440,730,Active,,,https://www.redfin.com/WA/Seattle/1311-12th-Ave-S-98144/unit-C205/home/2117799,NWMLS,1983992,N,Y,47.5913358,-122.3176421
MLS Listing,,Single Family Residential,4819 S Thompson,Tacoma,WA,98409,465000,3,2.0,South Tacoma,1994,4329,1924,41,233,,Active,October-8-2022 12:00 PM,October-8-2022 03:00 PM,https://www.redfin.com/WA/Tacoma/4819-S-Thompson-Ave-98408/home/2969949,NWMLS,1977456,N,Y,47.2129776,-122.44423
MLS Listing,,Townhouse,452 N 130th St,Seattle,WA,98133,625000,3,1.5,Ballard,1293,1246,2009,54,483,,Active,,,https://www.redfin.com/WA/Seattle/452-N-130th-St-98133/home/22271003,NWMLS,1981486,N,Y,47.7235678,-122.3530818
MLS Listing,,Single Family Residential,108 N 95th St,Seattle,WA,98103,998000,6,3.0,Greenwood,2920,7650,1925,61,342,,Active,October-8-2022 11:00 AM,October-8-2022 02:00 PM,https://www.redfin.com/WA/Seattle/108-N-95th-St-98103/home/101229,NWMLS,1976785,N,Y,47.6980456,-122.3575572
MLS Listing,,Single Family Residential,3530 NE 94th St,Seattle,WA,98115,995000,4,2.0,Wedgwood,2118,6120,1951,61,470,,Active,,,https://www.redfin.com/WA/Seattle/3530-NE-94th-St-98115/home/315899,NWMLS,1978959,N,Y,47.6969195,-122.289113
MLS Listing,,Single Family Residential,2810 N STARR St,Tacoma,WA,98403,980950,5,3.0,Old Town,3317,5000,1904,62,296,,Active,,,https://www.redfin.com/WA/Tacoma/2810-N-Starr-St-98403/home/23427848,NWMLS,1979200,N,Y,47.2732792,-122.464008
MLS Listing,,Single Family Residential,4333 A St,Tacoma,WA,98418,399000,3,1.5,Se Tacoma,1300,8382,1953,70,307,,Active,,,https://www.redfin.com/WA/Tacoma/4333-A-St-98404/home/3041135,NWMLS,1969910,N,Y,47.2170682,-122.4310503
MLS Listing,,Single Family Residential,10421 41st Ave SW,Seattle,WA,98146,679500,2,2.5,Arbor Heights,1067,1958,2022,83,637,49,Active,,,https://www.redfin.com/WA/Seattle/10421-41st-Ave-SW-98146/home/180534106,NWMLS,1968972,N,Y,47.5093635,-122.3846702
MLS Listing,,Single Family Residential,901 E 56th St,Tacoma,WA,98404,595950,6,3.0,Se Tacoma,2575,12000,1924,86,231,,Active,,,https://www.redfin.com/WA/Tacoma/901-E-56th-St-98404/home/2984469,NWMLS,1965984,N,Y,47.2065369,-122.4188077
MLS Listing,,Single Family Residential,1226 141st St E,Tacoma,WA,98445,435000,3,1.5,Parkland,1252,9840,1964,85,347,,Active,,,https://www.redfin.com/WA/Tacoma/1226-141st-St-E-98445/home/2915268,NWMLS,1962395,N,Y,47.1282825,-122.4131693
MLS Listing,,Single Family Residential,9336 45th Ave SW,Seattle,WA,98136,999995,3,3.0,Fauntleroy,1740,5000,1938,61,575,,Active,October-8-2022 02:00 PM,October-8-2022 04:00 PM,https://www.redfin.com/WA/Seattle/9336-45th-Ave-SW-98136/home/156305,NWMLS,1957195,N,Y,47.5191177,-122.3907075
MLS Listing,,Multi-Family (2-4 Unit),710 S 40th St,Tacoma,WA,98418,580000,7,4.0,Tacoma,2472,8885,1900,113,235,,Active,,,https://www.redfin.com/WA/Tacoma/710-S-40th-St-98418/home/2962920,NWMLS,1943933,N,Y,47.2206181,-122.4413154
MLS Listing,,Single Family Residential,2723 176th St E,Tacoma,WA,98445,480000,3,2.0,Tacoma,2300,43221,1968,97,209,,Active,,,https://www.redfin.com/WA/Tacoma/2723-176th-St-E-98445/home/2578379,NWMLS,1945481,N,Y,47.0971786,-122.3919157
MLS Listing,,Single Family Residential,5550 15th Ave S Unit A,Seattle,WA,98108,719950,3,2.5,Beacon Hill,1591,1665,2016,122,453,,Active,,,https://www.redfin.com/WA/Seattle/5550-15th-Ave-S-98108/unit-A/home/105282590,NWMLS,1940521,N,Y,47.5519158,-122.3132789
MLS Listing,,Single Family Residential,8126 Canyon Rd E,Puyallup,WA,98371,530000,2,1.0,Summit,1505,13891,1900,159,352,,Active,,,https://www.redfin.com/WA/Puyallup/8126-Canyon-Rd-E-98371/home/2627599,NWMLS,1925516,N,Y,47.1829536,-122.3577216
New Construction Plan,,Townhouse,Unit 16.01,Shoreline,WA,98133,689990,2,2.5,358 Degrees,1372,,,,503,,Active,,,https://www.redfin.com/WA/Shoreline/358-Degrees/Unit-16-01/home/179420053,NewHomeSource.com,Plan-212011533,N,Y,47.7353512,-122.3540679
