SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4313 S 62nd St,Tacoma,WA,98409,380000,3,1.0,South Tacoma,991,5740,1925,16,383,,Active,September-17-2022 11:00 AM,September-17-2022 01:00 PM,https://www.redfin.com/WA/Tacoma/4313-S-62nd-St-98409/home/2909148,NWMLS,1989573,N,Y,47.2013867,-122.4952425
MLS Listing,,Condo/Co-op,827 Hiawatha Pl S #303,Seattle,WA,98144,469999,2,1.0,Judkins,858,,2009,21,548,474,Active,,,https://www.redfin.com/WA/Seattle/827-Hiawatha-Pl-S-98144/unit-303/home/28624688,NWMLS,1987493,N,Y,47.595205,-122.3099681
MLS Listing,,Single Family Residential,9827 Park Ave S,Tacoma,WA,98444,350000,2,1.0,Tacoma,1644,21780,1943,29,213,,Active,,,https://www.redfin.com/WA/Tacoma/9827-Park-Ave-S-98444/home/2555300,NWMLS,1984253,N,Y,47.1675122,-122.4409188
MLS Listing,,Townhouse,6729 Mary Ave NW,Seattle,WA,98117,825000,3,3.0,Ballard,1780,598,2019,34,463,,Active,September-18-2022 11:00 AM,September-18-2022 01:00 PM,https://www.redfin.com/WA/Seattle/6729-Mary-Ave-NW-98117/home/170474621,NWMLS,1980316,N,Y,47.6786648,-122.3763437
MLS Listing,,Condo/Co-op,10919 Glen Acres Dr S Unit 19C,Seattle,WA,98168,330000,2,2.0,Glen Acres,1245,,1967,1,265,952,Active,September-17-2022 10:00 AM,September-17-2022 12:00 PM,https://www.redfin.com/WA/Burien/10919-Glen-Acres-Dr-S-98168/unit-19C/home/181776528,NWMLS,1995865,N,Y,47.5053477,-122.3211722
MLS Listing,,Single Family Residential,5022 S L St,Tacoma,WA,98408,450000,4,2.0,Lincoln,1787,9375,1902,6,252,,Active,,,https://www.redfin.com/WA/Tacoma/5022-S-L-St-98408/home/2970215,NWMLS,1992456,N,Y,47.2109934,-122.4500883
MLS Listing,,Single Family Residential,12224 N Park Ave N,Seattle,WA,98133,448000,2,1.0,Bitter Lake,1040,6103,1926,7,431,,Active,,,https://www.redfin.com/WA/Seattle/12224-N-Park-Ave-N-98133/home/98036,NWMLS,1991847,N,Y,47.7185078,-122.3492494
MLS Listing,,Single Family Residential,6026 S Fife St,Tacoma,WA,98409,459990,5,2.5,South Tacoma,1935,3463,2014,7,238,,Active,,,https://www.redfin.com/WA/Tacoma/6026-S-Fife-St-98409/home/22772041,NWMLS,1993301,N,Y,47.2019923,-122.4713349
MLS Listing,,Single Family Residential,906 SW 97th St,Seattle,WA,98106,795000,5,3.0,White Center,2170,2752,2014,7,366,94,Active,,,https://www.redfin.com/WA/Seattle/906-SW-97th-St-98106/home/8187817,NWMLS,1991957,N,Y,47.5164336,-122.3470961
MLS Listing,,Single Family Residential,2642 SW 110th St,Seattle,WA,98146,445000,1,1.0,Shorewood,500,7004,1948,8,890,,Active,,,https://www.redfin.com/WA/Seattle/2642-SW-110th-St-98146/home/179981,NWMLS,1993231,N,Y,47.5049719,-122.3674631
MLS Listing,,Townhouse,9007 18th Ave SW Unit B,Seattle,WA,98106,549950,3,2.5,Highland Park,1520,1062,2009,9,362,,Active,,,https://www.redfin.com/WA/Seattle/9007-18th-Ave-SW-98106/unit-B/home/21997927,NWMLS,1991926,N,Y,47.5225885,-122.3583237
MLS Listing,,Single Family Residential,6633 Flora Ave S,Seattle,WA,98108,639000,4,2.5,Georgetown,1104,4000,1950,10,579,,Active,,,https://www.redfin.com/WA/Seattle/6633-Flora-Ave-S-98108/home/476505,NWMLS,1991853,N,Y,47.5431641,-122.3207019
MLS Listing,,Single Family Residential,4714 N Highland Ave,Tacoma,WA,98407,624900,5,2.5,North Tacoma,1750,8000,1964,13,357,,Active,,,https://www.redfin.com/WA/Tacoma/4714-N-Highland-Ave-98407/home/2818961,NWMLS,1991318,N,Y,47.2921777,-122.5143438
MLS Listing,,Single Family Residential,1551 NE 146th St,Shoreline,WA,98155,625000,3,2.0,Shoreline,2010,8109,1930,13,311,,Active,,,https://www.redfin.com/WA/Shoreline/1551-NE-146th-St-98155/home/87062,NWMLS,1990082,N,Y,47.7346167,-122.3105486
MLS Listing,,Condo/Co-op,500 W Roy St Unit W204,Seattle,WA,98119,750000,2,2.0,Queen Anne,1071,,1982,14,700,598,Active,September-17-2022 11:00 AM,September-17-2022 01:00 PM,https://www.redfin.com/WA/Seattle/500-W-Roy-St-98119/unit-W204/home/8665,NWMLS,1989436,N,Y,47.626056,-122.3634696
MLS Listing,,Single Family Residential,402 11th Ave,Seattle,WA,98122,995000,3,2.0,Capitol Hill,2500,3600,1950,14,398,,Active,,,https://www.redfin.com/WA/Seattle/402-11th-Ave-98122/home/145697,NWMLS,1989170,N,Y,47.6053662,-122.3178671
MLS Listing,,Single Family Residential,4337 E E St,Tacoma,WA,98404,375000,3,2.0,Lincoln,2015,8640,1925,15,186,,Active,September-17-2022 02:00 PM,September-17-2022 04:00 PM,https://www.redfin.com/WA/Tacoma/4337-East-E-St-98404/home/2961821,NWMLS,1989792,N,Y,47.2169952,-122.424704
MLS Listing,,Single Family Residential,1901 S 17th St,Tacoma,WA,98405,349950,2,1.0,Hilltop,768,6720,1949,15,456,,Active,,,https://www.redfin.com/WA/Tacoma/1901-S-17th-St-98405/home/2922663,NWMLS,1990187,N,Y,47.2450094,-122.4621401
MLS Listing,,Single Family Residential,5519 23rd Ave NE,Tacoma,WA,98422,665000,3,2.5,Browns Point,1693,8667,1993,17,393,29,Active,September-17-2022 12:00 PM,September-17-2022 02:00 PM,https://www.redfin.com/WA/Tacoma/5519-23rd-Ave-NE-98422/home/2859836,NWMLS,1989298,N,Y,47.3068347,-122.4162748
MLS Listing,,Single Family Residential,5914 N 32nd St,Tacoma,WA,98407,760000,5,4.0,North Tacoma,2864,10000,1963,17,265,,Active,,,https://www.redfin.com/WA/Tacoma/5914-N-32nd-St-98407/home/2764970,NWMLS,1989250,N,Y,47.2768007,-122.5168955
MLS Listing,,Single Family Residential,5923 Vickery Ave E,Tacoma,WA,98443,699995,2,2.0,Summit,2308,47480,1950,19,303,,Active,,,https://www.redfin.com/WA/Tacoma/5923-Vickery-Ave-E-98443/home/2600131,NWMLS,1989096,N,Y,47.2026873,-122.3775229
MLS Listing,,Townhouse,8821 Interlake Ave N,Seattle,WA,98103,750000,3,2.5,Licton Springs,1970,2109,1995,20,381,,Active,,,https://www.redfin.com/WA/Seattle/8821-Interlake-Ave-N-98103/home/105643,NWMLS,1988620,N,Y,47.6930725,-122.3405822
MLS Listing,,Single Family Residential,701 118th St S,Tacoma,WA,98444,359900,2,1.0,Parkland,979,8000,1927,20,368,,Active,,,https://www.redfin.com/WA/Tacoma/701-118th-St-S-98444/home/2723588,NWMLS,1987511,N,Y,47.1499431,-122.4409877
MLS Listing,,Single Family Residential,829 E 47th St,Tacoma,WA,98404,395000,4,2.0,Se Tacoma,1364,6250,1919,27,290,,Active,,,https://www.redfin.com/WA/Tacoma/829-E-47th-St-98404/home/2765318,NWMLS,1986114,N,Y,47.2146388,-122.4192927
MLS Listing,,Townhouse,8517 7th Ave S,Seattle,WA,98108,569900,2,2.0,South Park,1060,780,2019,28,538,,Active,,,https://www.redfin.com/WA/Seattle/8517-7th-Ave-S-98108/home/181145654,NWMLS,1985426,N,Y,47.5269221,-122.3255866
MLS Listing,,Townhouse,8435 22nd Ave SW,Seattle,WA,98106,719999,3,2.5,West Seattle,1546,1766,2022,28,466,,Active,September-17-2022 11:00 AM,September-17-2022 01:00 PM,https://www.redfin.com/WA/Seattle/8435-22nd-Ave-SW-98106/home/181143278,NWMLS,1985397,N,Y,47.5272004,-122.3621726
MLS Listing,,Single Family Residential,7844 S Yakima Ave,Tacoma,WA,98408,459750,3,1.0,Fern Hill,2230,10200,1925,28,206,,Active,,,https://www.redfin.com/WA/Tacoma/7844-S-Yakima-Ave-98408/home/2610239,NWMLS,1984966,N,Y,47.1848982,-122.4436592
MLS Listing,,Condo/Co-op,840 NE 125th St #201,Seattle,WA,98125,355000,2,2.0,Pinehurst,784,23182,1988,28,453,547,Active,,,https://www.redfin.com/WA/Seattle/840-NE-125th-St-98125/unit-201/home/12538874,NWMLS,1979187,N,Y,47.7197662,-122.3187763
MLS Listing,,Single Family Residential,4308 Tacoma Ave S,Tacoma,WA,98418,360000,4,2.5,Lincoln,1845,7100,1926,31,195,,Active,,,https://www.redfin.com/WA/Tacoma/4308-Tacoma-Ave-S-98418/home/2962845,NWMLS,1983960,N,Y,47.2180315,-122.4394156
MLS Listing,,Single Family Residential,2514 17th Ave S,Seattle,WA,98144,915000,5,2.0,N Beacon Hill,1480,3297,1910,31,618,,Active,,,https://www.redfin.com/WA/Seattle/2514-17th-Ave-S-98144/home/169102,NWMLS,1976529,N,Y,47.580544,-122.3105777
MLS Listing,,Single Family Residential,311 116th St S,Tacoma,WA,98444,325000,2,1.0,Parkland,737,5000,1920,33,441,,Active,,,https://www.redfin.com/WA/Tacoma/311-116th-St-S-98444/home/2724120,NWMLS,1983178,N,Y,47.1513248,-122.4361923
MLS Listing,,Single Family Residential,3209 E I St,Tacoma,WA,98404,415000,4,1.0,McKinley,1840,6500,1949,34,226,,Active,,,https://www.redfin.com/WA/Tacoma/3209-E-I-St-98404/home/2715853,NWMLS,1973408,N,Y,47.2332224,-122.419776
MLS Listing,,Townhouse,4725 A 32nd Ave S,Seattle,WA,98118,624950,2,2.0,Columbia City,1220,755,2022,34,512,,Active,September-17-2022 01:30 PM,September-17-2022 03:30 PM,https://www.redfin.com/WA/Seattle/4725-32nd-Ave-S-98118/home/180529750,NWMLS,1983017,N,Y,47.5599048,-122.2917978
MLS Listing,,Single Family Residential,405 30th Ave E,Seattle,WA,98112,699900,3,2.0,Madison Valley,1280,2138,1944,34,547,,Active,September-17-2022 12:00 PM,September-17-2022 02:00 PM,https://www.redfin.com/WA/SEATTLE/405-30TH-AVE-E-98112/home/22268894,NWMLS,1982473,N,Y,47.622751,-122.293367
MLS Listing,,Single Family Residential,2940 59th Ave NE,Tacoma,WA,98422,464950,3,2.0,Ne Tacoma,1180,5750,1988,35,394,,Active,,,https://www.redfin.com/WA/Tacoma/2940-59th-Ave-NE-98422/home/2937061,NWMLS,1981277,N,Y,47.2842196,-122.3690715
MLS Listing,,Single Family Residential,9509 8th Ave NW,Seattle,WA,98117,959950,3,2.5,Crown Hill,1637,1792,2018,35,586,,Active,September-17-2022 11:00 AM,September-17-2022 01:30 PM,https://www.redfin.com/WA/Seattle/9509-8th-Ave-NW-98117/home/148415453,NWMLS,1982106,N,Y,47.6981533,-122.3662603
MLS Listing,,Single Family Residential,10234 40th Ave SW,Seattle,WA,98146,875500,3,2.0,Arbor Heights,2010,5618,1910,35,436,,Active,,,https://www.redfin.com/WA/Seattle/10234-40th-Ave-SW-98146/home/156178,NWMLS,1981368,N,Y,47.5110115,-122.3826816
MLS Listing,,Condo/Co-op,819 Virginia St #2304,Seattle,WA,98101,899000,2,2.0,Downtown,1186,,2007,36,758,1074,Active,,,https://www.redfin.com/WA/Seattle/819-Virginia-St-98101/unit-2304/home/12306139,NWMLS,1980294,N,Y,47.6160389,-122.3357053
MLS Listing,,Townhouse,113 17th Ave E Unit B,Seattle,WA,98112,925000,2,2.5,Capitol Hill,1260,1020,2016,20,734,,Active,September-17-2022 12:00 AM,September-17-2022 11:59 PM,https://www.redfin.com/WA/Seattle/113-17th-Ave-E-98112/unit-B/home/109661990,NWMLS,1981501,N,Y,47.6189904,-122.3106683
MLS Listing,,Condo/Co-op,308 E Republican #508,Seattle,WA,98102,325000,1,1.0,Capitol Hill,664,,1961,36,489,743,Active,,,https://www.redfin.com/WA/Seattle/308-E-Republican-St-98102/unit-508/home/176011117,NWMLS,1980983,N,Y,47.6233526,-122.3275719
MLS Listing,,Single Family Residential,1415 S 84th St,Tacoma,WA,98444,409000,3,2.0,South Tacoma,1572,8160,1935,37,260,,Active,,,https://www.redfin.com/WA/Tacoma/1415-S-84th-St-98444/home/2614635,NWMLS,1981331,N,Y,47.1812514,-122.4534216
MLS Listing,,Single Family Residential,1005 E Harrison,Tacoma,WA,98404,475000,4,2.5,East Tacoma,1664,6500,1907,40,285,,Active,,,https://www.redfin.com/WA/Tacoma/1005-E-Harrison-St-98404/home/2717685,NWMLS,1978874,N,Y,47.2301436,-122.4173804
MLS Listing,,Single Family Residential,2810 N STARR St,Tacoma,WA,98403,985950,5,3.0,Old Town,3317,5000,1904,42,297,,Active,,,https://www.redfin.com/WA/Tacoma/2810-N-Starr-St-98403/home/23427848,NWMLS,1979200,N,Y,47.2732792,-122.464008
MLS Listing,,Townhouse,2636 NW 58th St Unit B,Seattle,WA,98107,855999,3,2.0,Ballard,1449,939,2019,32,591,,Active,September-16-2022 04:00 PM,September-16-2022 06:00 PM,https://www.redfin.com/WA/Seattle/2636-NW-58th-St-98107/unit-B/home/160717142,NWMLS,1978057,N,Y,47.6710824,-122.3917615
MLS Listing,,Townhouse,6562 High Point Dr SW,Seattle,WA,98126,699000,3,3.5,High Point,1710,1728,2014,42,409,260,Active,September-17-2022 11:00 AM,September-17-2022 02:00 PM,https://www.redfin.com/WA/Seattle/6562-High-Point-Dr-SW-98126/home/18661945,NWMLS,1978399,N,Y,47.5433604,-122.3676619
MLS Listing,,Single Family Residential,9046 1st Ave NW,Seattle,WA,98117,780000,3,2.0,Greenwood,1100,8451,1946,43,709,,Active,,,https://www.redfin.com/WA/Seattle/9046-1st-Ave-NW-98117/home/100621,NWMLS,1977471,N,Y,47.6956568,-122.3577878
MLS Listing,,Condo/Co-op,501 Roy St Unit R101,Seattle,WA,98109,515000,1,1.0,Queen Anne,715,,2007,43,720,536,Active,September-16-2022 11:30 AM,September-16-2022 01:30 PM,https://www.redfin.com/WA/Seattle/501-Roy-St-98109/unit-R101/home/12091726,NWMLS,1975899,N,Y,47.6250152,-122.3470991
MLS Listing,,Condo/Co-op,2716 Elliott Ave #310,Seattle,WA,98121,499900,1,1.0,Belltown,647,14389,2003,49,773,503,Active,,,https://www.redfin.com/WA/Seattle/2716-Elliott-Ave-98121/unit-310/home/67626,NWMLS,1975496,N,Y,47.6150559,-122.3527279
MLS Listing,,Single Family Residential,10620 55th Ave S,Seattle,WA,98178,479000,3,1.0,Rainier Beach,2272,5240,1922,51,211,,Active,,,https://www.redfin.com/WA/Seattle/10620-55th-Ave-S-98178/home/178959,NWMLS,1955550,N,Y,47.5054362,-122.2644538
MLS Listing,,Single Family Residential,4321 SW Dawson St,Seattle,WA,98136,930000,4,2.0,Alaska Junction,2110,4064,1917,55,441,,Active,September-17-2022 11:00 AM,September-17-2022 01:00 PM,https://www.redfin.com/WA/Seattle/4321-SW-Dawson-St-98136/home/153382,NWMLS,1972740,N,Y,47.5562657,-122.3879558
MLS Listing,,Single Family Residential,3001 45th Ave SW,Seattle,WA,98116,899950,2,1.5,North Admiral,1600,6080,1931,55,562,,Active,September-18-2022 01:00 AM,September-18-2022 04:00 PM,https://www.redfin.com/WA/Seattle/3001-45th-Ave-SW-98116/home/331115,NWMLS,1972783,N,Y,47.5772784,-122.3898151
MLS Listing,,Single Family Residential,10604 13th Avenue Ct S,Tacoma,WA,98444,299000,2,1.0,Tacoma,816,12000,1929,59,366,,Active,,,https://www.redfin.com/WA/Tacoma/10604-13th-Ave-Ct-S-98444/home/2988497,NWMLS,1969659,N,Y,47.1610614,-122.4518581
MLS Listing,,Townhouse,10443 Alderbrook Pl NW,Seattle,WA,98177,949950,3,2.0,Crown Hill,1683,1586,2022,63,564,,Active,September-18-2022 10:00 AM,September-18-2022 12:00 PM,https://www.redfin.com/WA/Seattle/10443-Alderbrook-Pl-NW-98177/home/178441552,NWMLS,1968605,N,Y,47.7045693,-122.3651998
MLS Listing,,Single Family Residential,1403 N Proctor St,Tacoma,WA,98406,495000,2,1.0,Proctor,1056,4950,1925,59,469,,Active,,,https://www.redfin.com/WA/Tacoma/1403-N-Proctor-St-98406/home/2964415,NWMLS,1966448,N,Y,47.2630158,-122.4885777
MLS Listing,,Townhouse,1543 Grandview Pl E,Seattle,WA,98112,989950,2,2.0,Capitol Hill,1345,1200,2022,64,736,,Active,September-17-2022 11:00 AM,September-17-2022 01:00 PM,https://www.redfin.com/WA/Seattle/1543-Grandview-Pl-E-98112/home/180497385,NWMLS,1967885,N,Y,47.633537,-122.3122891
MLS Listing,,Condo/Co-op,2830 NW 56th St #103,Seattle,WA,98107,560000,2,2.0,Ballard,896,,1968,64,625,511,Active,September-17-2022 01:00 PM,September-17-2022 03:00 PM,https://www.redfin.com/WA/Seattle/2830-NW-56th-St-98107/unit-103/home/12093525,NWMLS,1965850,N,Y,47.6696619,-122.3941538
MLS Listing,,Condo/Co-op,612 Prospect St #302,Seattle,WA,98109,379900,1,1.0,Queen Anne,679,,1968,69,559,463,Active,,,https://www.redfin.com/WA/Seattle/612-Prospect-St-98109/unit-302/home/38650,NWMLS,1965191,N,Y,47.6291899,-122.3439723
MLS Listing,,Single Family Residential,3924 Gay Rd Rd E,Tacoma,WA,98443,825000,4,3.0,Tacoma,3249,18731,1993,70,254,,Active,September-17-2022 11:00 AM,September-17-2022 02:00 PM,https://www.redfin.com/WA/Tacoma/3924-Gay-Rd-E-98443/home/2589072,NWMLS,1965038,N,Y,47.2263781,-122.3758333
MLS Listing,,Single Family Residential,4917 S 112th St,Tukwila,WA,98178,715000,3,2.0,Seattle,2160,14893,1960,70,331,,Active,,,https://www.redfin.com/WA/Tukwila/4917-S-112th-St-98178/home/175544,NWMLS,1964339,N,Y,47.5024456,-122.2717441
MLS Listing,,Condo/Co-op,9023 Mary Ave NW #207,Seattle,WA,98117,430000,2,2.0,Ballard,1213,,1981,72,354,547,Active,,,https://www.redfin.com/WA/Seattle/9023-Mary-Ave-NW-98117/unit-207/home/42271,NWMLS,1943294,N,Y,47.6950108,-122.3758602
MLS Listing,,Single Family Residential,3106 54th Ave NE,Tacoma,WA,98422,494950,3,2.0,Ne Tacoma,1150,7268,1991,76,430,,Active,,,https://www.redfin.com/WA/Tacoma/3106-54th-Ave-NE-98422/home/2857390,NWMLS,1958306,N,Y,47.2848324,-122.3750773
MLS Listing,,Condo/Co-op,1120 8th Ave #502,Seattle,WA,98101,609950,2,2.0,First Hill,1060,,1970,82,575,511,Active,,,https://www.redfin.com/WA/Seattle/1120-8th-Ave-98101/unit-502/home/46143,NWMLS,1954782,N,Y,47.6067415,-122.315732
MLS Listing,,Single Family Residential,2603 144th Street Ct E,Tacoma,WA,98445,450000,3,2.0,Brookdale,1770,9000,1978,84,254,,Active,,,https://www.redfin.com/WA/Tacoma/2603-144th-St-Ct-E-98445/home/2975508,NWMLS,1955382,N,Y,47.1257407,-122.3945256
MLS Listing,,Condo/Co-op,1515 Dock St #710,Tacoma,WA,98402,399000,1,1.0,Port of Tacoma,1017,86764,2008,86,392,468,Active,,,https://www.redfin.com/WA/Tacoma/1515-Dock-St-98402/unit-710/home/18602718,NWMLS,1954949,N,Y,47.2491064,-122.4346829
MLS Listing,,Condo/Co-op,3636 Evanston Ave N #8,Seattle,WA,98103,375000,1,1.0,Fremont,529,529,1961,86,709,364,Active,September-17-2022 11:00 AM,September-17-2022 01:00 PM,https://www.redfin.com/WA/Seattle/3636-Evanston-Ave-N-98103/unit-8/home/12091699,NWMLS,1946703,N,Y,47.6525564,-122.350829
