SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,8909 Roosevelt Way NE Unit B,Seattle,WA,98115,858000,3,1.5,Northgate,1390,1691,2014,1,617,,Active,December-3-2022 11:00 AM,December-3-2022 01:00 PM,https://www.redfin.com/WA/Seattle/8909-Roosevelt-Way-NE-98115/unit-B/home/59703688,NWMLS,2019657,N,Y,47.6933477,-122.317953
MLS Listing,,Condo/Co-op,1738 NW 58th St #103,Seattle,WA,98107,469999,2,2.0,Ballard,808,,1987,1,582,380,Active,December-3-2022 11:00 AM,December-3-2022 01:00 PM,https://www.redfin.com/WA/Seattle/1738-NW-58th-St-98107/unit-103/home/2119022,NWMLS,2019548,N,Y,47.6711187,-122.3805226
MLS Listing,,Condo/Co-op,25 N Broadway St #304,Tacoma,WA,98403,320000,1,1.0,Stadium District,700,,1988,1,457,297,Active,December-3-2022 02:00 PM,December-3-2022 04:00 PM,https://www.redfin.com/WA/Tacoma/25-N-Broadway-St-98403/unit-304/home/21677030,NWMLS,2019302,N,Y,47.2651516,-122.4475569
MLS Listing,,Townhouse,3062 SW Avalon Way Unit F,Seattle,WA,98126,650000,2,2.0,Fairmount,1467,578,2018,1,443,13,Active,December-3-2022 02:00 PM,December-3-2022 04:00 PM,https://www.redfin.com/WA/Seattle/3062-SW-Avalon-Way-98126/unit-F/home/144466719,NWMLS,2019585,N,Y,47.5659462,-122.3721707
PAST SALE,November-1-2022,Townhouse,918 N 100th St,Seattle,WA,98133,549755,2,1.5,Seattle,900,,2022,1,611,58,Pending,,,https://www.redfin.com/WA/Seattle/918-N-100th-St-98133/home/99867,NWMLS,2014878,N,Y,47.7016197,-122.3464942
PAST SALE,,Condo/Co-op,800 Columbia St #1715,Seattle,WA,98104,628000,0,1.0,First Hill,517,,2023,1,1215,522,Pending,,,https://www.redfin.com/WA/Seattle/800-Columbia-St-98104/unit-1715/home/179158850,NWMLS,1921426,N,Y,47.6067442,-122.3271536
PAST SALE,,Condo/Co-op,800 Columbia St #1701,Seattle,WA,98104,726000,1,1.0,First Hill,589,,2023,1,1233,595,Pending,,,https://www.redfin.com/WA/Seattle/800-Columbia-St-98104/unit-1701/home/179158864,NWMLS,1921438,N,Y,47.6067442,-122.3271536
PAST SALE,July-22-2022,Townhouse,1710 A N 47th St,Seattle,WA,98103,985000,3,2.0,Wallingford,1551,1336,2022,1,635,,Pending,,,https://www.redfin.com/WA/Seattle/1710-N-47th-St-98103/home/118384,NWMLS,1999658,N,Y,47.6630385,-122.3370923
PAST SALE,,Townhouse,914 N 100th St,Seattle,WA,98133,549755,2,1.5,Seattle,900,,2022,1,611,58,Pending,,,https://www.redfin.com/WA/Seattle/914-N-100th-St-98133/home/182702396,NWMLS,2014874,N,Y,47.7016482,-122.3472131
PAST SALE,,Townhouse,10427 Alderbrook Pl NW,Seattle,WA,98177,610000,2,2.0,Seattle,1113,729,2022,1,548,,Pending,,,https://www.redfin.com/WA/Seattle/10427-Alderbrook-Pl-NW-98177/home/178441562,NWMLS,2019077,N,Y,47.7043285,-122.3651091
