SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6837 21st Ave NE,Seattle,WA,98115,998000,2,2.0,Ravenna,1849,5120,1916,1,540,,Active,June-25-2022 11:00 AM,June-25-2022 01:00 PM,https://www.redfin.com/WA/Seattle/6837-21st-Ave-NE-98115/home/310484,NWMLS,1956857,N,Y,47.6786833,-122.3055351
MLS Listing,,Single Family Residential,5625 S Leo St,Seattle,WA,98178,575000,3,1.5,Seattle,1090,7600,1946,1,528,,Active,June-25-2022 11:00 AM,June-25-2022 01:00 PM,https://www.redfin.com/WA/Seattle/5625-S-Leo-St-98178/home/178868,NWMLS,1946223,N,Y,47.502342,-122.2613468
MLS Listing,,Townhouse,411 N 39th St,Seattle,WA,98103,970000,3,2.5,Fremont,1570,1362,1997,1,618,,Active,June-25-2022 02:00 PM,June-25-2022 04:00 PM,https://www.redfin.com/WA/Seattle/411-N-39th-St-98103/home/303708,NWMLS,1956180,N,Y,47.6540402,-122.35384
MLS Listing,,Single Family Residential,6789 37th Ave S,Seattle,WA,98118,875000,4,3.0,Seattle,2090,3430,2011,1,419,84,Active,June-25-2022 11:00 AM,June-25-2022 01:00 PM,https://www.redfin.com/WA/Seattle/6789-37th-Ave-S-98118/home/22415371,NWMLS,1957307,N,Y,47.5403989,-122.286724
MLS Listing,,Single Family Residential,1609 E Alder St,Seattle,WA,98122,925000,3,2.0,Seattle,1690,3320,1966,1,547,,Active,,,https://www.redfin.com/WA/Seattle/1609-E-Alder-St-98122/home/142592,NWMLS,1957891,N,Y,47.6041099,-122.3107129
MLS Listing,,Single Family Residential,1502 N 10th St,Tacoma,WA,98403,799950,4,2.5,Tacoma,2616,3225,1929,1,306,,Active,June-25-2022 11:00 AM,June-25-2022 01:00 PM,https://www.redfin.com/WA/Tacoma/1502-N-10th-St-98403/home/2714043,NWMLS,1946019,N,Y,47.2603026,-122.4664434
MLS Listing,,Condo/Co-op,3814 11th Ave W #27,Seattle,WA,98119,408000,2,1.0,Queen Anne,977,,1965,1,418,483,Active,,,https://www.redfin.com/WA/Seattle/3814-11th-Ave-W-98119/unit-27/home/15744,NWMLS,1956672,N,Y,47.6541723,-122.3711577
MLS Listing,,Single Family Residential,812 E 55th St,Tacoma,WA,98404,385000,3,1.0,Tacoma,1024,6000,1925,1,376,,Active,June-25-2022 02:00 PM,June-25-2022 04:00 PM,https://www.redfin.com/WA/Tacoma/812-E-55th-St-98404/home/2984447,NWMLS,1957160,N,Y,47.2070006,-122.4202625
MLS Listing,,Condo/Co-op,1125 E Olive St #504,Seattle,WA,98122,375000,1,1.0,Capitol Hill,521,,2007,1,720,344,Active,June-25-2022 11:00 AM,June-25-2022 01:00 PM,https://www.redfin.com/WA/Seattle/1125-E-Olive-St-98122/unit-504/home/12093406,NWMLS,1954430,N,Y,47.6161594,-122.3172369
MLS Listing,,Condo/Co-op,535 20th Ave E #103,Seattle,WA,98112,275000,0,1.0,Seattle,414,,1923,1,664,408,Active,,,https://www.redfin.com/WA/Seattle/535-20th-Ave-E-98112/unit-103/home/62448,NWMLS,1956987,N,Y,47.6242787,-122.3062726
