SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,2441 NW 63rd St Unit A,Seattle,WA,98107,889900,3,2.5,Ballard,1475,1225,2015,1,603,,Active,January-14-2023 02:00 PM,January-14-2023 04:00 PM,https://www.redfin.com/WA/Seattle/2441-NW-63rd-St-98107/unit-A/home/59703182,NWMLS,2026714,N,Y,47.674335,-122.38951
MLS Listing,,Condo/Co-op,530 Melrose Ave E #306,Seattle,WA,98102,520000,2,2.0,Broadway,691,,1991,1,753,630,Active,January-14-2023 11:00 AM,January-14-2023 01:00 PM,https://www.redfin.com/WA/Seattle/530-Melrose-Ave-E-98102/unit-306/home/45980,NWMLS,2025652,N,Y,47.6240242,-122.3275118
MLS Listing,,Condo/Co-op,4111 Whitman Ave N #304,Seattle,WA,98103,465000,3,1.0,Wallingford,799,,1947,1,582,482,Active,January-15-2023 11:00 AM,January-15-2023 01:00 PM,https://www.redfin.com/WA/Seattle/4111-Whitman-Ave-N-98103/unit-304/home/2087198,NWMLS,2026982,N,Y,47.6570861,-122.3463189
MLS Listing,,Condo/Co-op,7323 Sand Point Way NE #311,Seattle,WA,98115,319000,1,1.0,Sand Point,662,,1985,1,482,471,Active,January-14-2023 11:00 AM,January-14-2023 01:00 PM,https://www.redfin.com/WA/Seattle/7323-Sand-Point-Way-NE-98115/unit-311/home/12093288,NWMLS,2026563,N,Y,47.6819329,-122.2640733
MLS Listing,,Condo/Co-op,2319 1st Ave #702,Seattle,WA,98121,649000,1,1.0,Belltown,906,,2000,1,716,605,Active,January-14-2023 02:00 PM,January-14-2023 04:00 PM,https://www.redfin.com/WA/Seattle/2319-1st-Ave-98121/unit-702/home/3017,NWMLS,2022305,N,Y,47.6136631,-122.3472978
MLS Listing,,Condo/Co-op,5824 NE 75th St Unit D101,Seattle,WA,98115,399000,2,2.0,View Ridge,850,,1977,1,469,475,Active,January-15-2023 02:00 PM,January-15-2023 04:00 PM,https://www.redfin.com/WA/Seattle/5824-NE-75th-St-98115/unit-D101/home/51057,NWMLS,2024343,N,Y,47.6832844,-122.2650599
MLS Listing,,Townhouse,2429 NW 57th St Unit A,Seattle,WA,98107,825000,3,2.5,Ballard,1520,1300,2000,1,543,,Active,January-14-2023 11:00 AM,January-14-2023 01:00 PM,https://www.redfin.com/WA/Seattle/2429-NW-57th-St-98107/unit-A/home/2076805,NWMLS,2023919,N,Y,47.6698923,-122.3889225
PAST SALE,,Condo/Co-op,800 Columbia St #1715,Seattle,WA,98104,628000,0,1.0,First Hill,517,,2023,1,1215,522,Pending,,,https://www.redfin.com/WA/Seattle/800-Columbia-St-98104/unit-1715/home/179158850,NWMLS,1921426,N,Y,47.6067442,-122.3271536
PAST SALE,,Townhouse,4711 Evanston Ave N,Seattle,WA,98103,689000,2,2.0,Fremont,968,656,2022,1,712,,Pending,,,https://www.redfin.com/WA/Seattle/4711-Evanston-Ave-N-98103/home/183381577,NWMLS,2022917,N,Y,47.663168,-122.3516701
PAST SALE,,Townhouse,2446 Dexter Ave N,Seattle,WA,98109,960000,3,2.0,Queen Anne,1540,900,2022,1,623,189,Pending,,,https://www.redfin.com/WA/Seattle/2446-Dexter-Ave-N-98109/home/183416043,NWMLS,2023176,N,Y,47.6407805,-122.3442593
PAST SALE,,Townhouse,9247 20th Ave SW Unit A,Seattle,WA,98106,799999,4,3.5,Highland Park,2160,1750,2023,1,370,20,Pending,,,https://www.redfin.com/WA/Seattle/9247-20th-Ave-SW-98106/unit-A/home/183739519,NWMLS,2026715,N,Y,47.5195889,-122.3594558
PAST SALE,,Condo/Co-op,121 Stewart St #1404,Seattle,WA,98101,739000,1,1.0,Downtown,1003,,2020,1,737,817,Pending,,,https://www.redfin.com/WA/Seattle/121-Stewart-St-98101/unit-1404/home/175699657,NWMLS,2025541,N,Y,47.6106852,-122.3406126
PAST SALE,,Condo/Co-op,800 Columbia St #712,Seattle,WA,98104,622000,0,1.0,First Hill,541,,2023,1,1150,546,Pending,,,https://www.redfin.com/WA/Seattle/800-Columbia-St-98104/unit-712/home/179158875,NWMLS,1921471,N,Y,47.6067442,-122.3271536
PAST SALE,,Townhouse,10429 H Alderbrook Pl NW,Seattle,WA,98177,599950,2,2.0,Ballard,1098,1366,2002,1,546,,Pending,,,https://www.redfin.com/WA/Seattle/10429-Alderbrook-Pl-NW-98177/home/178441549,NWMLS,2026278,N,Y,47.7043748,-122.365109
PAST SALE,,Condo/Co-op,800 Columbia St #1701,Seattle,WA,98104,726000,1,1.0,First Hill,589,,2023,1,1233,595,Pending,,,https://www.redfin.com/WA/Seattle/800-Columbia-St-98104/unit-1701/home/179158864,NWMLS,1921438,N,Y,47.6067442,-122.3271536
