SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,7500 15th Ave NW Unit B,Seattle,WA,98117,715000,1,2.0,Loyal Heights,1300,464,2017,1,550,242,Active,July-30-2022 11:00 AM,July-30-2022 01:00 PM,https://www.redfin.com/WA/Seattle/7500-15th-Ave-NW-98117/unit-B/home/167266375,NWMLS,1965560,N,Y,47.6833632,-122.3764502
MLS Listing,,Condo/Co-op,1800 Taylor Ave N #211,Seattle,WA,98109,385000,2,1.0,Queen Anne,798,,1948,1,482,830,Active,July-31-2022 02:00 PM,July-31-2022 04:00 PM,https://www.redfin.com/WA/Seattle/1800-Taylor-Ave-N-98109/unit-211/home/72363,NWMLS,1974503,N,Y,47.6353412,-122.3455951
MLS Listing,,Single Family Residential,4015 5th Ave NE,Seattle,WA,98105,750000,3,2.0,Wallingford,2400,5601,1909,1,313,,Active,,,https://www.redfin.com/WA/Seattle/4015-5th-Ave-NE-98105/home/117319,NWMLS,1974203,N,Y,47.6559956,-122.3238271
MLS Listing,,Single Family Residential,3606 43rd Avenue Ct NE,Tacoma,WA,98422,950000,4,3.5,Northshore,3632,14875,1999,1,262,37,Active,,,https://www.redfin.com/WA/Tacoma/3606-43rd-Ave-Ct-NE-98422/home/2865170,NWMLS,1973803,N,Y,47.2893207,-122.3903604
MLS Listing,,Townhouse,933 N 105th St Unit C,Seattle,WA,98133,460000,2,1.5,Northgate,1240,880,2000,1,371,,Active,,,https://www.redfin.com/WA/Seattle/933-N-105th-St-98133/unit-C/home/99152,NWMLS,1973326,N,Y,47.7048297,-122.3458258
MLS Listing,,Townhouse,9047 18th Ave SW Unit A,Seattle,WA,98106,725000,3,2.5,Delridge,1880,1282,2018,1,386,,Active,,,https://www.redfin.com/WA/Seattle/9047-18th-Ave-SW-98106/unit-A/home/22714383,NWMLS,1975306,N,Y,47.5215259,-122.3583289
MLS Listing,,Single Family Residential,5706 35th Ave NE,Seattle,WA,98105,599000,2,2.0,Bryant,1080,4280,1920,1,555,,Active,,,https://www.redfin.com/WA/Seattle/5706-35th-Ave-NE-98105/home/314005,NWMLS,1974520,N,Y,47.6705804,-122.2899203
MLS Listing,,Townhouse,1754 NW 61st St,Seattle,WA,98107,964800,3,3.5,Ballard,1640,1474,2015,1,588,,Active,,,https://www.redfin.com/WA/Seattle/1754-NW-61st-St-98107/home/106725653,NWMLS,1975037,N,Y,47.6732019,-122.3812962
MLS Listing,,Condo/Co-op,519 W Roy St #302,Seattle,WA,98119,295000,0,1.0,Queen Anne,460,,1930,1,641,374,Active,,,https://www.redfin.com/WA/Seattle/519-W-Roy-St-98119/unit-302/home/10965,NWMLS,1973201,N,Y,47.6255981,-122.3641756
MLS Listing,,Condo/Co-op,4409 California Ave SW #204,Seattle,WA,98116,470000,2,1.0,Alaska Junction,970,,1996,1,485,620,Active,,,https://www.redfin.com/WA/Seattle/4409-California-Ave-SW-98116/unit-204/home/73864,NWMLS,1975527,N,Y,47.5644661,-122.3870854
MLS Listing,,Single Family Residential,1541 NE 94th St,Seattle,WA,98115,989000,3,2.5,Maple Leaf,1890,5200,1933,1,523,,Active,July-31-2022 11:00 AM,July-31-2022 02:00 PM,https://www.redfin.com/WA/Seattle/1541-NE-94th-St-98115/home/106842,NWMLS,1975551,N,Y,47.696288,-122.3102048
MLS Listing,,Single Family Residential,5416 30th Ave SW,Seattle,WA,98126,875000,4,2.0,Delridge,1450,5750,1970,1,603,,Active,July-30-2022 12:00 PM,July-30-2022 03:00 PM,https://www.redfin.com/WA/Seattle/5416-30th-Ave-SW-98126/home/159151,NWMLS,1973142,N,Y,47.5532041,-122.370552
MLS Listing,,Townhouse,10802 Glen Acres Dr S Unit T15,Seattle,WA,98168,334000,2,2.5,Glen Acres,1443,,1967,1,231,1014,Active,,,https://www.redfin.com/WA/Burien/10802-Glen-Acres-Dr-S-98168/unit-T15/home/65981,NWMLS,1974230,N,Y,47.506353,-122.321081
MLS Listing,,Condo/Co-op,15422 8th Avenue Ct E,Tacoma,WA,98445,349950,3,2.0,Brookdale,1288,10266,1993,1,272,360,Active,,,https://www.redfin.com/WA/Tacoma/15422-8th-Ave-Ct-E-98445/home/2981589,NWMLS,1975500,N,Y,47.1159895,-122.4207886
MLS Listing,,Single Family Residential,606 S 35th St,Tacoma,WA,98418,399900,5,2.0,Tacoma,2153,4810,1895,1,186,,Active,,,https://www.redfin.com/WA/Tacoma/606-S-35th-St-98418/home/2716948,NWMLS,1973457,N,Y,47.2283568,-122.4395355
MLS Listing,,Condo/Co-op,1101 Seneca St #403,Seattle,WA,98101,540000,1,1.0,First Hill,855,,1981,1,632,713,Active,,,https://www.redfin.com/WA/Seattle/1101-Seneca-St-98101/unit-403/home/69400,NWMLS,1967739,N,Y,47.6107154,-122.3259674
MLS Listing,,Condo/Co-op,2716 Elliott #310,Seattle,WA,98121,535000,1,1.0,Belltown,647,14389,2003,1,827,503,Active,,,https://www.redfin.com/WA/Seattle/2716-Elliott-Ave-98121/unit-310/home/67626,NWMLS,1975496,N,Y,47.6150559,-122.3527279
MLS Listing,,Single Family Residential,5506 E E,Tacoma,WA,98404,489000,3,2.0,Se Tacoma,1293,7869,1992,1,378,,Active,,,https://www.redfin.com/WA/Tacoma/5506-East-E-St-98404/home/2725837,NWMLS,1974758,N,Y,47.2073574,-122.4250745
MLS Listing,,Single Family Residential,6425 S Orchard St,Tacoma,WA,98467,399500,3,1.5,Manitou,1540,5750,1965,1,259,,Active,,,https://www.redfin.com/WA/Tacoma/6425-Orchard-St-98467/home/2910253,NWMLS,1960343,N,Y,47.1982607,-122.504282
MLS Listing,,Single Family Residential,4456 40th Ave SW,Seattle,WA,98116,850000,3,1.0,West Seattle,1510,5750,1907,1,563,,Active,July-31-2022 12:00 AM,July-31-2022 11:59 PM,https://www.redfin.com/WA/Seattle/4456-40th-Ave-SW-98116/home/328639,NWMLS,1971899,N,Y,47.563035,-122.382474
MLS Listing,,Single Family Residential,9003 12th Ave SW,Seattle,WA,98106,520000,2,1.0,Highland Park,720,4240,1942,1,722,,Active,,,https://www.redfin.com/WA/Seattle/9003-12th-Ave-SW-98106/home/475407,NWMLS,1975483,N,Y,47.5226996,-122.3509013
MLS Listing,,Single Family Residential,8343 Martin Luther King Jr. Way S,Seattle,WA,98118,695000,5,3.0,Beacon Hill,2000,4553,1976,1,348,,Active,,,https://www.redfin.com/WA/Seattle/8343-Martin-Luther-King-Jr-Way-S-98118/home/480487,NWMLS,1966473,N,Y,47.5280085,-122.2806671
MLS Listing,,Townhouse,1913 7th Ave W Unit B,Seattle,WA,98119,899000,3,2.5,Queen Anne,1350,662,2022,1,666,,Active,,,https://www.redfin.com/WA/Seattle/1913-7th-Ave-W-98119/unit-B/home/179966464,NWMLS,1975526,N,Y,47.6363508,-122.3666243
MLS Listing,,Single Family Residential,1848 Mariner Cir NE,Tacoma,WA,98422,857000,4,2.5,Browns Point,3092,13752,1999,1,277,79,Active,,,https://www.redfin.com/WA/Tacoma/1848-Mariner-Cir-NE-98422/home/2872329,NWMLS,1974695,N,Y,47.2738748,-122.3742775
MLS Listing,,Single Family Residential,4509 Pacific Ave,Tacoma,WA,98418,327000,2,1.0,Tacoma,825,4600,1925,1,396,,Active,,,https://www.redfin.com/WA/Tacoma/4509-Pacific-Ave-98418/home/2962255,NWMLS,1971632,N,Y,47.2163788,-122.4336295
MLS Listing,,Condo/Co-op,4847 California Ave SW #302,Seattle,WA,98116,432000,1,1.0,Alaska Junction,750,,2003,1,576,363,Active,,,https://www.redfin.com/WA/Seattle/4847-California-Ave-SW-98116/unit-302/home/57289,NWMLS,1969573,N,Y,47.5576301,-122.3871918
MLS Listing,,Single Family Residential,6976 Sylvan Way SW,Seattle,WA,98106,720000,3,2.0,Delridge,1590,8937,1942,1,453,,Active,July-30-2022 11:00 AM,July-30-2022 01:00 PM,https://www.redfin.com/WA/Seattle/6976-Sylvan-Way-SW-98106/home/159205,NWMLS,1973352,N,Y,47.5393732,-122.3650233
MLS Listing,,Single Family Residential,823 NE 104th St,Seattle,WA,98125,895000,2,3.0,Maple Leaf,1810,8700,1952,1,494,,Active,July-30-2022 12:00 PM,July-30-2022 02:00 PM,https://www.redfin.com/WA/Seattle/823-NE-104th-St-98125/home/107559,NWMLS,1967768,N,Y,47.703853,-122.3195331
MLS Listing,,Condo/Co-op,2055 43rd Ave E #302,Seattle,WA,98112,895000,2,2.0,Madison Park,933,,1981,1,959,540,Active,July-28-2022 11:00 AM,July-28-2022 01:00 PM,https://www.redfin.com/WA/Seattle/2055-43rd-Ave-E-98112/unit-302/home/27015,NWMLS,1973906,N,Y,47.6385344,-122.2774872
MLS Listing,,Single Family Residential,5933 47th Ave SW,Seattle,WA,98136,795000,3,2.0,Seaview,1910,7500,1908,1,416,,Active,July-30-2022 11:00 AM,July-30-2022 01:00 PM,https://www.redfin.com/WA/Seattle/5933-47th-Ave-SW-98136/home/154643,NWMLS,1969941,N,Y,47.5491904,-122.3928644
MLS Listing,,Townhouse,8524 A Stone Ave N,Seattle,WA,98103,700000,3,2.5,Licton Springs,1360,1248,1999,1,515,,Active,July-29-2022 05:00 PM,July-29-2022 06:30 PM,https://www.redfin.com/WA/Seattle/8524-Stone-Ave-N-98103/home/179863124,NWMLS,1965565,N,Y,47.6912721,-122.3410774
MLS Listing,,Single Family Residential,2614 SW 353rd Pl,Federal Way,WA,98023,630000,3,2.5,Federal Way,2314,5007,2017,1,272,56,Active,,,https://www.redfin.com/WA/TACOMA/2614-SW-353RD-PL-98422/home/113996093,NWMLS,1970073,N,Y,47.28572,-122.366853
MLS Listing,,Condo/Co-op,9901 Asotin St S,Tacoma,WA,98444,329950,2,2.0,Parkland,1350,4560,1985,1,244,85,Active,July-30-2022 12:00 PM,July-30-2022 04:00 PM,https://www.redfin.com/WA/Tacoma/9901-Asotin-St-S-98444/home/179814664,NWMLS,1974249,N,Y,47.167628,-122.457016
MLS Listing,,Single Family Residential,6015 48th Ave S,Seattle,WA,98118,925000,5,3.0,Seward Park,1900,8160,1997,1,487,,Active,July-28-2022 11:00 AM,July-28-2022 12:30 PM,https://www.redfin.com/WA/Seattle/6015-48th-Ave-S-98118/home/492539,NWMLS,1973840,N,Y,47.5480081,-122.2729046
MLS Listing,,Single Family Residential,14005 51st Ave E,Tacoma,WA,98446,649900,4,2.0,Summit,2288,99752,1968,1,284,,Active,July-31-2022 02:00 PM,July-31-2022 04:00 PM,https://www.redfin.com/WA/Tacoma/14005-51st-Ave-E-98446/home/2567131,NWMLS,1974968,N,Y,47.1287292,-122.3609248
MLS Listing,,Single Family Residential,9328 39th Ave S,Seattle,WA,98118,750000,3,2.0,Beacon Hill,1730,5500,1922,1,434,,Active,July-30-2022 12:00 PM,July-30-2022 03:00 PM,https://www.redfin.com/WA/Seattle/9328-39th-Ave-S-98118/home/480035,NWMLS,1975331,N,Y,47.5189329,-122.2834192
MLS Listing,,Single Family Residential,5957 44th Ave S,Seattle,WA,98118,897000,3,2.0,Hillman City,2280,5270,1918,1,393,,Active,,,https://www.redfin.com/WA/Seattle/5957-44th-Ave-S-98118/home/173065,NWMLS,1975226,N,Y,47.5486279,-122.278362
MLS Listing,,Single Family Residential,11005 Crestwood Dr S,Seattle,WA,98178,765000,3,2.0,Lakeridge,2040,16080,1952,1,375,,Active,July-30-2022 11:00 AM,July-30-2022 01:00 PM,https://www.redfin.com/WA/Seattle/11005-Crestwood-Dr-S-98178/home/199366,NWMLS,1971944,N,Y,47.5037355,-122.2450956
MLS Listing,,Single Family Residential,5201 Ridge Dr NE,Tacoma,WA,98422,725000,4,3.5,Ne Tacoma,2694,10559,1989,1,269,36,Active,,,https://www.redfin.com/WA/Tacoma/5201-Ridge-Dr-NE-98422/home/2829142,NWMLS,1974577,N,Y,47.3036907,-122.4170601
MLS Listing,,Single Family Residential,2702 18th Ave S,Seattle,WA,98144,880000,4,1.0,Beacon Hill,1500,3200,1914,1,587,,Active,July-28-2022 11:00 AM,July-28-2022 01:00 PM,https://www.redfin.com/WA/Seattle/2702-18th-Ave-S-98144/home/168681,NWMLS,1975279,N,Y,47.5794425,-122.309017
