SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1210 N 43rd St,Seattle,WA,98103,899950,4,2.0,Wallingford,2680,3000,1920,1,336,,Active,September-18-2022 11:00 AM,September-18-2022 01:00 PM,https://www.redfin.com/WA/Seattle/1210-N-43rd-St-98103/home/120403,NWMLS,1997652,N,Y,47.6593911,-122.3431947
MLS Listing,,Condo/Co-op,9750 Greenwood Ave N #208,Seattle,WA,98103,450000,0,,Greenwood,,,1992,1,,261,Active,,,https://www.redfin.com/WA/Seattle/9750-Greenwood-Ave-N-98103/unit-208/home/24868,NWMLS,1997592,N,Y,47.7011445,-122.3549964
MLS Listing,,Single Family Residential,125 Del Monte Ave,Fircrest,WA,98466,559000,3,2.0,Fircrest,2136,6875,1952,1,262,,Active,,,https://www.redfin.com/WA/Fircrest/125-Del-Monte-Ave-98466/home/2957263,NWMLS,1997587,N,Y,47.2418244,-122.5114856
MLS Listing,,Single Family Residential,2052 14th Ave W,Seattle,WA,98119,750000,3,1.0,Queen Anne,980,4200,1908,1,765,,Active,,,https://www.redfin.com/WA/Seattle/2052-14th-Ave-W-98119/home/134284,NWMLS,1996926,N,Y,47.6382737,-122.3747144
MLS Listing,,Townhouse,8355 10th Ave NW Unit B,Seattle,WA,98117,750000,3,2.5,Greenwood,1440,1330,2008,1,521,,Active,September-18-2022 12:30 PM,September-18-2022 03:30 PM,https://www.redfin.com/WA/Seattle/8355-10th-Ave-NW-98117/unit-B/home/21883473,NWMLS,1997383,N,Y,47.6903613,-122.3697207
MLS Listing,,Condo/Co-op,1545 NW 57th St #302,Seattle,WA,98107,499990,1,1.0,Ballard,854,,2003,1,585,513,Active,,,https://www.redfin.com/WA/Seattle/1545-NW-57th-St-98107/unit-302/home/175726983,NWMLS,1997305,N,Y,47.6699146,-122.3784177
MLS Listing,,Condo/Co-op,708 Market St #505,Tacoma,WA,98402,649500,2,2.0,New Tacoma,1192,360,2007,1,545,438,Active,,,https://www.redfin.com/WA/Tacoma/708-Market-St-98402/unit-505/home/12405327,NWMLS,1995665,N,Y,47.2570728,-122.4427048
MLS Listing,,Condo/Co-op,3722 27th Pl W #203,Seattle,WA,98199,375000,1,1.0,Magnolia,750,,1968,1,500,495,Active,,,https://www.redfin.com/WA/Seattle/3722-27th-Pl-W-98199/unit-203/home/71796,NWMLS,1996012,N,Y,47.6539156,-122.3911474
New Construction Plan,,Townhouse,Unit 16.01,Shoreline,WA,98133,769990,2,2.5,358 Degrees,1372,,,,561,,Active,,,https://www.redfin.com/WA/Shoreline/358-Degrees/Unit-16-01/home/179420053,NewHomeSource.com,Plan-212011533,N,Y,47.7353512,-122.3540679
New Construction Plan,,Townhouse,Unit 16.03,Shoreline,WA,98133,799990,2,3.5,358 Degrees,1574,,,,508,,Active,,,https://www.redfin.com/WA/Shoreline/358-Degrees/Unit-16-03/home/179420052,NewHomeSource.com,Plan-212011534,N,Y,47.7353512,-122.3540679
New Construction Plan,,Single Family Residential,Plan A2,Seattle,WA,98106,935000,5,2.5,Altamura at Greenbridge,2607,,,,359,,Active,,,https://www.redfin.com/WA/Seattle/Altamura-at-Greenbridge/Plan-A2/home/181822084,NewHomeSource.com,Plan-202325106,N,Y,47.51234,-122.340476
